,A1,A2,A3,a,b,Ra,R3,V
0,33.0,10.0,-34.0,8.4,6.0,-1.6,9.054752633984027,456.359532752795
1,33.0,10.0,-34.0,8.6,6.0,-1.8,8.966172354815287,462.65449350846876
2,33.0,10.0,-34.0,8.8,6.0,-2.0,8.945571858552391,472.3261941315663
3,33.0,10.0,-34.0,9.0,6.0,-2.1,8.867619422716945,478.85144882671506
4,33.0,10.0,-34.0,8.4,6.2,-1.6,8.983336513139129,467.85216560428586
5,33.0,10.0,-34.0,8.6,6.2,-1.8,8.945571858552393,476.9778914980136
6,33.0,10.0,-34.0,8.8,6.2,-1.9,8.89126106385564,485.1072036439638
7,33.0,10.0,-34.0,9.0,6.2,-2.1,8.78838437790995,490.3918482873752
8,33.0,10.0,-34.0,8.4,5.8,-1.7,9.085133193929991,442.62768920826915
9,33.0,10.0,-34.0,8.4,5.6,-1.7,9.092824663477952,427.72647217000286
10,33.0,11.0,-34.0,8.0,6.4,-1.3,9.004968280107441,461.054375941501
11,33.0,11.0,-34.0,8.2,6.4,-1.4,8.996127502976375,472.1167713562001
12,33.0,11.0,-34.0,8.4,6.4,-1.6,8.91050492866673,479.0287449651235
13,33.0,11.0,-34.0,8.6,6.4,-1.8,8.854257522470624,487.3383340367831
14,33.0,11.0,-34.0,8.8,6.4,-1.9,8.814903687522147,496.4553756812474
15,33.0,11.0,-34.0,8.0,6.2,-1.3,9.072028815524822,449.9726292500312
16,33.0,11.0,-34.0,8.2,6.2,-1.5,9.004968280107441,457.8125873606623
17,33.0,11.0,-34.0,8.4,6.2,-1.6,8.989817635783645,468.1897024716123
18,33.0,11.0,-34.0,8.6,6.2,-1.8,8.898398072260902,474.4625852129513
19,33.0,11.0,-34.0,8.8,6.2,-2.0,8.854257522470622,483.08829042599723
20,33.0,11.0,-34.0,8.0,6.0,-1.4,9.132814513753155,438.3750966601515
21,33.0,11.0,-34.0,8.2,6.0,-1.5,9.060910931918961,445.7968178504129
22,33.0,12.0,-35.0,8.0,6.4,-1.3,9.00182012777633,460.89319054214815
23,33.0,12.0,-35.0,8.2,6.4,-1.5,8.917067054953202,467.96767904394403
24,33.0,12.0,-35.0,8.4,6.4,-1.7,8.911136322818733,479.0626887147351
25,33.0,12.0,-35.0,8.6,6.4,-1.8,8.822439473486128,485.58706862067646
26,33.0,12.0,-35.0,8.8,6.4,-2.0,8.745141752926322,492.52638352481057
27,33.0,12.0,-35.0,8.0,6.2,-1.4,9.049307532010086,448.8456535877003
28,33.0,12.0,-35.0,8.2,6.2,-1.5,8.996948658654585,457.40486980599906
29,33.0,12.0,-35.0,8.4,6.2,-1.7,8.911136322818733,464.09197969239966
30,33.0,12.0,-35.0,8.6,6.2,-1.8,8.906480843974087,474.8935586006983
31,33.0,12.0,-35.0,8.8,6.2,-2.0,8.805462198754533,480.4260175640474
32,33.0,12.0,-35.0,8.0,6.0,-1.4,9.068579803823951,435.29183058354965
33,33.0,12.0,-35.0,8.2,6.0,-1.6,9.049307532010088,445.2259305748963
34,33.0,13.0,-36.0,8.2,6.2,-1.6,8.952293453383106,455.1345991699971
35,33.0,13.0,-36.0,8.4,6.2,-1.7,8.91551991263782,464.32027705017765
36,33.0,13.0,-36.0,8.6,6.2,-1.9,8.815716678523835,470.0540132988909
37,33.0,13.0,-36.0,8.8,6.2,-2.1,8.800135271006447,480.1353803861118
38,33.0,13.0,-36.0,8.2,6.0,-1.6,8.991057664709295,442.36003710369727
39,33.0,13.0,-36.0,8.4,6.0,-1.8,8.952293453383104,451.19559005050854
40,33.0,13.0,-36.0,8.6,6.0,-1.9,8.895438066512712,459.0046042320559
41,33.0,13.0,-36.0,8.8,6.0,-2.1,8.866103771402816,468.13027913006874
42,33.0,13.0,-36.0,8.2,5.8,-1.6,9.058627970301966,430.82834626756147
43,33.0,13.0,-36.0,8.4,5.8,-1.8,8.969932860260714,437.015128951902
44,33.0,14.0,-37.0,8.2,6.2,-1.6,8.925470216499587,453.770905806839
45,33.0,14.0,-37.0,8.4,6.2,-1.8,8.838316546478694,460.2995257406104
46,33.0,14.0,-37.0,8.6,6.2,-1.9,8.832025864471118,470.92361909360005
