R1,R2,heri,phi1,phi2,FF
5.0,0.8,58.0,-180.0,0.0,722853.2492788658
5.0,0.8,58.0,-179.0,0.0,807594.2077608606
5.0,0.8,58.0,-178.0,0.0,962506.8653616614
5.0,0.8,58.0,-177.0,0.0,1188917.5181061914
5.0,0.8,58.0,-176.0,0.0,1442746.2394077522
5.0,0.8,58.0,-175.0,0.0,1626948.5045490935
5.0,0.8,58.0,-174.0,0.0,1647977.378040291
5.0,0.8,58.0,-173.0,0.0,1514265.9482290945
5.0,0.8,58.0,-172.0,0.0,1378941.207570491
5.0,0.8,58.0,-171.0,0.0,1473499.7124925724
5.0,0.8,58.0,-170.0,0.0,1953564.3757221939
5.0,0.8,58.0,-169.0,0.0,2665185.231436161
5.0,0.8,58.0,-168.0,0.0,3074878.277400905
5.0,0.8,58.0,-167.0,0.0,2810737.4492717325
5.0,0.8,58.0,-166.0,0.0,2164363.5582463522
5.0,0.8,58.0,-165.0,0.0,1588443.0802226006
5.0,0.8,58.0,-164.0,0.0,1207858.3325363472
5.0,0.8,58.0,-163.0,0.0,1081215.0652711862
5.0,0.8,58.0,-162.0,0.0,1413970.4238839513
5.0,0.8,58.0,-161.0,0.0,2197287.2951554754
5.0,0.8,58.0,-160.0,0.0,2508006.2225026404
5.0,0.8,58.0,-159.0,0.0,1739981.2468484263
5.0,0.8,58.0,-158.0,0.0,867066.8015982878
5.0,0.8,58.0,-157.0,0.0,470710.3069758701
5.0,0.8,58.0,-156.0,0.0,360089.7874228514
5.0,0.8,58.0,-155.0,0.0,319788.791523216
5.0,0.8,58.0,-154.0,0.0,268112.90058393136
5.0,0.8,58.0,-153.0,0.0,203756.95447797384
5.0,0.8,58.0,-152.0,0.0,149526.62711686068
5.0,0.8,58.0,-151.0,0.0,116823.65273032042
5.0,0.8,58.0,-150.0,0.0,96420.63884064653
5.0,0.8,58.0,-149.0,0.0,72613.03386882825
5.0,0.8,58.0,-148.0,0.0,44601.416348230996
5.0,0.8,58.0,-147.0,0.0,22285.908912608345
5.0,0.8,58.0,-146.0,0.0,9629.703324621452
5.0,0.8,58.0,-145.0,0.0,3865.0226958778517
5.0,0.8,58.0,-144.0,0.0,1515.0462771961284
5.0,0.8,58.0,-143.0,0.0,585.6570315908982
5.0,0.8,58.0,-142.0,0.0,209.93970149140745
5.0,0.8,58.0,-141.0,0.0,50.403324269003534
5.0,0.8,58.0,-140.0,0.0,-21.16568042518646
5.0,0.8,58.0,-139.0,0.0,-54.59019070954683
5.0,0.8,58.0,-138.0,0.0,-70.1030893698421
