atom,X,Y,Z,R,q,sig,eps
C,0,0.5866781,-0.3573834,1.7,,,
S,0,2.0029402,0.6778631,1.8,,,
C,0,0.964008,2.1103674,1.7,,,
C,0,1.3889405,3.4378337,1.7,,,
C,0,0.4289765,4.4426341,1.7,,,
C,0,-0.9391502,4.1307305,1.7,,,
C,0,-1.3650532,2.8115804,1.7,,,
C,0,-0.4153283,1.7800537,1.7,,,
H,0,2.4448408,3.6814079,1.2,,,
H,0,0.7434964,5.47971,1.2,,,
H,0,-1.6696782,4.9311894,1.2,,,
H,0,-2.4220977,2.5708491,1.2,,,
C,0,-0.5866199,0.3573482,1.7,,,
S,0,-2.0028824,-0.6778975,1.8,,,
C,0,-0.9639509,-2.1104024,1.7,,,
C,0,-1.388884,-3.4378684,1.7,,,
C,0,-0.4289205,-4.4426694,1.7,,,
C,0,0.9392063,-4.1307664,1.7,,,
C,0,1.3651099,-2.8116164,1.7,,,
C,0,0.4153855,-1.7800893,1.7,,,
H,0,-2.4447845,-3.6814422,1.2,,,
H,0,1.669734,-4.9312256,1.2,,,
H,0,2.4221545,-2.5708857,1.2,,,
C,0,-0.837777,-5.8968869,1.7,-0.12,3.5,0.66
H,0.8940036,-1.4341561,-6.1110534,1.2,0.06,2.5,0.3
H,-0.8925487,-1.4342159,-6.1143717,1.2,0.06,2.5,0.3
C,0,0.3708675,-6.8510726,1.7,-0.12,3.5,0.66
H,-0.8981349,0.9714051,-6.664522,1.2,0.06,2.5,0.3
H,0.8977257,0.9723379,-6.66556,1.2,0.06,2.5,0.3
C,0,-0.030651,-8.3284838,1.7,-0.12,3.5,0.66
H,-0.8971579,-0.6256904,-8.5429161,1.2,0.06,2.5,0.3
H,0.8971636,-0.6256883,-8.5428979,1.2,0.06,2.5,0.3
C,0,1.1680824,-9.2821343,1.7,-0.12,3.5,0.66
H,0.8974448,1.7737384,-9.1018581,1.2,0.06,2.5,0.3
H,-0.8973158,1.7740258,-9.1021824,1.2,0.06,2.5,0.3
C,0,0.7704042,-10.7608945,1.7,-0.12,3.5,0.66
H,-0.8974691,0.1760287,-10.975865,1.2,0.06,2.5,0.3
H,0.8974228,0.1760151,-10.9760205,1.2,0.06,2.5,0.3
C,0,1.9690944,-11.71476,1.7,-0.12,3.5,0.66
H,0.8973542,2.5752124,-11.5349771,1.2,0.06,2.5,0.3
H,-0.8972974,2.5753388,-11.5351203,1.2,0.06,2.5,0.3
C,0,1.5715293,-13.1938613,1.7,-0.12,3.5,0.66
H,-0.897362,0.9769923,-13.4098511,1.2,0.06,2.5,0.3
H,0.8973364,0.9769849,-13.4099372,1.2,0.06,2.5,0.3
C,0,2.7691944,-14.1494947,1.7,-0.12,3.5,0.66
H,0.8753071,3.3589164,-13.9735247,1.2,0.06,2.5,0.3
H,-0.8972173,3.3737172,-13.9691518,1.2,0.06,2.5,0.3
C,0,2.3595172,-15.6247681,1.7,-0.18,3.5,0.66
H,-0.8847644,1.7621086,-15.8669725,1.2,0.06,2.5,0.3
H,0,3.2315454,-16.2843819,1.2,0.06,2.5,0.3
H,0.8847629,1.7621085,-15.866978,1.2,0.06,2.5,0.3
