R1,R2,heri,phi1,phi2,FF
5.0,1.0,58.0,-180.0,0.0,318892.17893057014
5.0,1.0,58.0,-179.0,0.0,318005.8743303679
5.0,1.0,58.0,-178.0,0.0,351767.97624238255
5.0,1.0,58.0,-177.0,0.0,433947.57415958407
5.0,1.0,58.0,-176.0,0.0,567081.5861543943
5.0,1.0,58.0,-175.0,0.0,723806.6726288208
5.0,1.0,58.0,-174.0,0.0,842034.1955337621
5.0,1.0,58.0,-173.0,0.0,862352.486533937
5.0,1.0,58.0,-172.0,0.0,787715.4135189225
5.0,1.0,58.0,-171.0,0.0,693065.5473748931
5.0,1.0,58.0,-170.0,0.0,664262.9434210499
5.0,1.0,58.0,-169.0,0.0,725565.4495024988
5.0,1.0,58.0,-168.0,0.0,811964.4188819847
5.0,1.0,58.0,-167.0,0.0,826060.9658735973
5.0,1.0,58.0,-166.0,0.0,748001.8280586341
5.0,1.0,58.0,-165.0,0.0,643842.0863958956
5.0,1.0,58.0,-164.0,0.0,556282.1189877224
5.0,1.0,58.0,-163.0,0.0,476675.1201904516
5.0,1.0,58.0,-162.0,0.0,423370.82879380236
5.0,1.0,58.0,-161.0,0.0,433815.920534522
5.0,1.0,58.0,-160.0,0.0,457435.33746560547
5.0,1.0,58.0,-159.0,0.0,392213.66210598167
5.0,1.0,58.0,-158.0,0.0,263426.6976412162
5.0,1.0,58.0,-157.0,0.0,164797.3457239667
5.0,1.0,58.0,-156.0,0.0,117138.47132195476
5.0,1.0,58.0,-155.0,0.0,95950.64727457456
5.0,1.0,58.0,-154.0,0.0,81411.12024016051
5.0,1.0,58.0,-153.0,0.0,66692.00035499192
5.0,1.0,58.0,-152.0,0.0,52500.83266358032
5.0,1.0,58.0,-151.0,0.0,41134.20285151376
5.0,1.0,58.0,-150.0,0.0,32820.16522004278
5.0,1.0,58.0,-149.0,0.0,25567.138945243558
5.0,1.0,58.0,-148.0,0.0,17979.529910160545
5.0,1.0,58.0,-147.0,0.0,10931.22628063436
5.0,1.0,58.0,-146.0,0.0,5804.2363959855375
5.0,1.0,58.0,-145.0,0.0,2796.5418807892142
5.0,1.0,58.0,-144.0,0.0,1267.510329683933
5.0,1.0,58.0,-143.0,0.0,545.0999118751406
5.0,1.0,58.0,-142.0,0.0,210.3116369779326
5.0,1.0,58.0,-141.0,0.0,52.639580305605826
5.0,1.0,58.0,-140.0,0.0,-24.29323504232663
5.0,1.0,58.0,-139.0,0.0,-63.45955688910091
5.0,1.0,58.0,-138.0,0.0,-84.18573381493798
