R1,R2,heri,phi1,phi2,FF
5.0,0.7,58.0,-180.0,0.0,608.0028830354825
5.0,0.7,58.0,-179.0,0.0,560.2013469929168
5.0,0.7,58.0,-178.0,0.0,521.848644126542
5.0,0.7,58.0,-177.0,0.0,489.0868780970838
5.0,0.7,58.0,-176.0,0.0,458.3745415545427
5.0,0.7,58.0,-175.0,0.0,426.85525783901386
5.0,0.7,58.0,-174.0,0.0,392.65889011312805
5.0,0.7,58.0,-173.0,0.0,355.0459430756153
5.0,0.7,58.0,-172.0,0.0,314.3489906713229
5.0,0.7,58.0,-171.0,0.0,271.7272623811936
5.0,0.7,58.0,-170.0,0.0,228.8060228971212
5.0,0.7,58.0,-169.0,0.0,187.2982935643649
5.0,0.7,58.0,-168.0,0.0,148.69589821227527
5.0,0.7,58.0,-167.0,0.0,114.08021558732283
5.0,0.7,58.0,-166.0,0.0,84.05969894772038
5.0,0.7,58.0,-165.0,0.0,58.80809865123657
5.0,0.7,58.0,-164.0,0.0,38.16210626586546
5.0,0.7,58.0,-163.0,0.0,21.738267512054374
5.0,0.7,58.0,-162.0,0.0,9.03986905172057
5.0,0.7,58.0,-161.0,0.0,-0.4619321666305412
5.0,0.7,58.0,-160.0,0.0,-7.276914997250234
5.0,0.7,58.0,-159.0,0.0,-11.871081527724598
5.0,0.7,58.0,-158.0,0.0,-14.661171352520997
5.0,0.7,58.0,-157.0,0.0,-16.020186370060387
5.0,0.7,58.0,-156.0,0.0,-16.28649500016805
5.0,0.7,58.0,-155.0,0.0,-15.770799125415817
5.0,0.7,58.0,-154.0,0.0,-14.75738821294409
5.0,0.7,58.0,-153.0,0.0,-13.498364124940618
5.0,0.7,58.0,-152.0,0.0,-12.20163702537976
5.0,0.7,58.0,-151.0,0.0,-11.01517622048843
5.0,0.7,58.0,-150.0,0.0,-10.010944767990965
5.0,0.7,58.0,-149.0,0.0,-9.171931357934994
5.0,0.7,58.0,-148.0,0.0,-8.384695147251831
5.0,0.7,58.0,-147.0,0.0,-7.438099904707873
5.0,0.7,58.0,-146.0,0.0,-6.026897754488921
5.0,0.7,58.0,-145.0,0.0,-3.7570807740957415
5.0,0.7,58.0,-144.0,0.0,-0.14891069004032353
5.0,0.7,58.0,-143.0,0.0,5.366501929626222
5.0,0.7,58.0,-142.0,0.0,13.460290853881016
5.0,0.7,58.0,-141.0,0.0,24.930183783319876
5.0,0.7,58.0,-140.0,0.0,40.735610947272605
5.0,0.7,58.0,-139.0,0.0,62.040816706722545
5.0,0.7,58.0,-138.0,0.0,90.2610170748109
5.0,0.7,58.0,-137.0,0.0,127.10479476196542
5.0,0.7,58.0,-136.0,0.0,174.60492615468291
5.0,0.7,58.0,-135.0,0.0,235.1305323681197
5.0,0.7,58.0,-134.0,0.0,311.37695757224077
5.0,0.7,58.0,-133.0,0.0,406.3370726126985
5.0,0.7,58.0,-132.0,0.0,523.268702464621
5.0,0.7,58.0,-131.0,0.0,665.6852517828038
5.0,0.7,58.0,-130.0,0.0,837.4049366732532
5.0,0.7,58.0,-129.0,0.0,1042.6905000575568
5.0,0.7,58.0,-128.0,0.0,1286.4888493124852
5.0,0.7,58.0,-127.0,0.0,1574.7377330381003
5.0,0.7,58.0,-126.0,0.0,1914.654082928166
5.0,0.7,58.0,-125.0,0.0,2314.876024015111
5.0,0.7,58.0,-124.0,0.0,2785.3202492278365
5.0,0.7,58.0,-123.0,0.0,3336.6507603924374
5.0,0.7,58.0,-122.0,0.0,3979.3270586962735
5.0,0.7,58.0,-121.0,0.0,4722.285963360628
5.0,0.7,58.0,-120.0,0.0,5571.383849236408
5.0,0.7,58.0,-119.0,0.0,6527.768963127871
5.0,0.7,58.0,-118.0,0.0,7586.367638321573
5.0,0.7,58.0,-117.0,0.0,8734.665854187648
5.0,0.7,58.0,-116.0,0.0,9951.959754338046
5.0,0.7,58.0,-115.0,0.0,11209.236433173726
5.0,0.7,58.0,-114.0,0.0,12469.82000288876
5.0,0.7,58.0,-113.0,0.0,13690.864510174517
5.0,0.7,58.0,-112.0,0.0,14825.687129105358
5.0,0.7,58.0,-111.0,0.0,15826.816968425752
5.0,0.7,58.0,-110.0,0.0,16649.50543142005
5.0,0.7,58.0,-109.0,0.0,17255.33197230714
5.0,0.7,58.0,-108.0,0.0,17615.474907542386
5.0,0.7,58.0,-107.0,0.0,17713.223650142565
5.0,0.7,58.0,-106.0,0.0,17545.393609030714
5.0,0.7,58.0,-105.0,0.0,17122.455862876344
5.0,0.7,58.0,-104.0,0.0,16467.38122108378
5.0,0.7,58.0,-103.0,0.0,15613.383621388452
5.0,0.7,58.0,-102.0,0.0,14600.893422242842
5.0,0.7,58.0,-101.0,0.0,13474.170679492687
5.0,0.7,58.0,-100.0,0.0,12277.97280820339
5.0,0.7,58.0,-99.0,0.0,11054.628613983728
5.0,0.7,58.0,-98.0,0.0,9841.763077249101
5.0,0.7,58.0,-97.0,0.0,8670.79169157392
5.0,0.7,58.0,-96.0,0.0,7566.18500611128
5.0,0.7,58.0,-95.0,0.0,6545.411602354946
5.0,0.7,58.0,-94.0,0.0,5619.410024663106
5.0,0.7,58.0,-93.0,0.0,4793.417488898743
5.0,0.7,58.0,-92.0,0.0,4067.9896221918116
5.0,0.7,58.0,-91.0,0.0,3440.071980299431
5.0,0.7,58.0,-90.0,0.0,2904.021021141278
5.0,0.7,58.0,-89.0,0.0,2452.5110727204583
5.0,0.7,58.0,-88.0,0.0,2077.2980224595876
5.0,0.7,58.0,-87.0,0.0,1769.8355676114643
5.0,0.7,58.0,-86.0,0.0,1521.753857036978
5.0,0.7,58.0,-85.0,0.0,1325.2137289085906
5.0,0.7,58.0,-84.0,0.0,1173.1455401683604
5.0,0.7,58.0,-83.0,0.0,1059.37471717165
5.0,0.7,58.0,-82.0,0.0,978.6321094488982
5.0,0.7,58.0,-81.0,0.0,926.4504257042978
5.0,0.7,58.0,-80.0,0.0,898.9605441860058
5.0,0.7,58.0,-79.0,0.0,892.6219239678891
5.0,0.7,58.0,-78.0,0.0,903.9431772179546
