R1,R2,heri,R3t,R3p,glide,phi1,phi2,FF
5.0,1.0,58.0,-2.0,-2.0,b,-120.0,-15.0,-14.425972209618152
5.0,1.0,58.0,-2.0,-2.0,b,-130.0,-10.0,-12.341596021895912
5.0,1.0,58.0,-2.0,-2.0,b,10.0,-10.0,-122.95226111751006
5.0,1.0,58.0,-2.0,-2.0,b,-130.0,140.0,-130.42896095151315
5.0,1.0,58.0,-2.0,-2.0,b,0.0,140.0,-57.81900584657313
5.0,1.0,58.0,-2.0,-1.9,b,-125.0,-15.0,-23.249504959468457
5.0,1.0,58.0,-2.0,-1.9,b,5.0,-15.0,-125.83037812660436
5.0,1.0,58.0,-2.0,-1.9,b,-130.0,140.0,-132.4335797252812
5.0,1.0,58.0,-2.0,-1.9,b,0.0,140.0,-62.25726962902559
5.0,1.0,58.0,-2.0,-1.8,b,-125.0,-15.0,-33.6238963883828
5.0,1.0,58.0,-2.0,-1.8,b,5.0,-15.0,-128.7751614613075
5.0,1.0,58.0,-2.0,-1.8,b,-130.0,140.0,-133.64878862000486
5.0,1.0,58.0,-2.0,-1.8,b,0.0,140.0,-65.68274150685725
5.0,1.0,58.0,-2.0,-1.8,b,-105.0,160.0,-87.44102713785725
5.0,1.0,58.0,-2.0,-1.7,b,-125.0,-15.0,-41.89580974290045
5.0,1.0,58.0,-2.0,-1.7,b,5.0,-15.0,-131.32252311715604
5.0,1.0,58.0,-2.0,-1.7,b,-130.0,140.0,-133.8237494222134
5.0,1.0,58.0,-2.0,-1.7,b,0.0,140.0,-68.15466576256749
5.0,1.0,58.0,-2.0,-1.7,b,-105.0,160.0,-88.05776753487223
5.0,1.0,58.0,-2.0,-1.6,b,-20.0,-35.0,-8.451420051572025
5.0,1.0,58.0,-2.0,-1.6,b,-125.0,-15.0,-47.80750953706416
5.0,1.0,58.0,-2.0,-1.6,b,5.0,-15.0,-133.35034619928015
5.0,1.0,58.0,-2.0,-1.6,b,-130.0,140.0,-132.68707415059754
5.0,1.0,58.0,-2.0,-1.6,b,-5.0,140.0,-70.24265638608416
5.0,1.0,58.0,-2.0,-1.6,b,-105.0,160.0,-87.82646868529396
5.0,1.0,58.0,-2.0,-1.5,b,-20.0,-35.0,-26.30935529408022
5.0,1.0,58.0,-2.0,-1.5,b,-125.0,-15.0,-51.351898719720815
5.0,1.0,58.0,-2.0,-1.5,b,5.0,-15.0,-134.80947835360504
5.0,1.0,58.0,-2.0,-1.5,b,-135.0,135.0,-130.98929477556763
5.0,1.0,58.0,-2.0,-1.5,b,-5.0,140.0,-72.66815810408937
5.0,1.0,58.0,-2.0,-1.5,b,-130.0,145.0,-132.04613098946805
5.0,1.0,58.0,-2.0,-1.5,b,-115.0,155.0,-109.8594823936758
5.0,1.0,58.0,-2.0,-1.5,b,-105.0,160.0,-87.04528275354232
5.0,1.0,58.0,-2.0,-1.4,b,-20.0,-35.0,-42.20460252327241
5.0,1.0,58.0,-2.0,-1.4,b,-125.0,-15.0,-52.717087998394526
5.0,1.0,58.0,-2.0,-1.4,b,5.0,-15.0,-135.70746931209246
5.0,1.0,58.0,-2.0,-1.4,b,-135.0,135.0,-127.9197148522294
5.0,1.0,58.0,-2.0,-1.4,b,-5.0,140.0,-73.92700690372506
5.0,1.0,58.0,-2.0,-1.4,b,-130.0,145.0,-130.2762770863637
5.0,1.0,58.0,-2.0,-1.4,b,-115.0,155.0,-108.75462295162504
5.0,1.0,58.0,-2.0,-1.4,b,-105.0,160.0,-85.97213633458821
5.0,1.0,58.0,-2.0,-1.3,b,-20.0,-35.0,-55.602794138963766
5.0,1.0,58.0,-2.0,-1.3,b,-125.0,-15.0,-52.24144441672456
5.0,1.0,58.0,-2.0,-1.3,b,5.0,-15.0,-136.09012278505932
5.0,1.0,58.0,-2.0,-1.3,b,-135.0,135.0,-123.20781726179187
5.0,1.0,58.0,-2.0,-1.3,b,-5.0,140.0,-74.36739124203359
5.0,1.0,58.0,-2.0,-1.3,b,-130.0,145.0,-127.1339894315466
5.0,1.0,58.0,-2.0,-1.3,b,-115.0,155.0,-107.50083295430746
5.0,1.0,58.0,-2.0,-1.3,b,-105.0,160.0,-84.83489720781868
5.0,1.0,58.0,-2.0,-1.2,b,-20.0,-35.0,-66.34144936849927
5.0,1.0,58.0,-2.0,-1.2,b,-120.0,-15.0,-52.40148971531282
5.0,1.0,58.0,-2.0,-1.2,b,5.0,-15.0,-136.02467773870885
5.0,1.0,58.0,-2.0,-1.2,b,-135.0,135.0,-116.89196731505211
5.0,1.0,58.0,-2.0,-1.2,b,-5.0,140.0,-74.28392102203698
5.0,1.0,58.0,-2.0,-1.2,b,-130.0,145.0,-122.47188206356488
5.0,1.0,58.0,-2.0,-1.2,b,-115.0,155.0,-106.18383688019073
5.0,1.0,58.0,-2.0,-1.2,b,-105.0,160.0,-83.83464247772855
5.0,1.0,58.0,-2.0,-1.1,b,-20.0,-35.0,-74.53066183161161
5.0,1.0,58.0,-2.0,-1.1,b,-120.0,-15.0,-52.622428097162775
5.0,1.0,58.0,-2.0,-1.1,b,5.0,-15.0,-135.58659078406976
5.0,1.0,58.0,-2.0,-1.1,b,-135.0,135.0,-109.09976460420393
5.0,1.0,58.0,-2.0,-1.1,b,-5.0,140.0,-73.91165648318237
5.0,1.0,58.0,-2.0,-1.1,b,-130.0,145.0,-116.21184169600065
5.0,1.0,58.0,-2.0,-1.1,b,-115.0,155.0,-104.88971842493385
5.0,1.0,58.0,-2.0,-1.1,b,-105.0,160.0,-83.14251136654946
5.0,1.0,58.0,-2.0,-1.0,b,-85.0,-45.0,-0.4808324983732813
5.0,1.0,58.0,-2.0,-1.0,b,-120.0,-15.0,-52.47837358288224
5.0,1.0,58.0,-2.0,-1.0,b,5.0,-15.0,-134.85041362499953
5.0,1.0,58.0,-2.0,-1.0,b,-135.0,135.0,-100.0654446695382
5.0,1.0,58.0,-2.0,-1.0,b,-5.0,140.0,-73.42568090214385
5.0,1.0,58.0,-2.0,-1.0,b,-130.0,145.0,-108.39313856676144
5.0,1.0,58.0,-2.0,-1.0,b,-115.0,155.0,-103.69981928384844
5.0,1.0,58.0,-2.0,-1.0,b,-105.0,160.0,-82.89191664923761
