,R1,R2,heri,R3t,R3p,phi1,phi2,FF
0,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-180.0,1024.7580086232492
1,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-175.0,2142.228407957088
2,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-170.0,8831.154170991884
3,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-165.0,43210.94517253026
4,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-160.0,141224.6613924522
5,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-155.0,192195.32942915006
6,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-150.0,118788.87283641404
7,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-145.0,83263.01939491242
8,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-140.0,84763.25558711201
9,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-135.0,147709.93961834538
10,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-130.0,1425617.6357287753
11,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-125.0,41654524.678238906
12,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-120.0,192423009.70749596
13,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-115.0,20837902.769592725
14,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-110.0,2160624.5071026273
15,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-105.0,2584254.08147694
16,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-100.0,16580230.089580147
17,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-95.0,172155246.18709075
18,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-90.0,189954504.16785115
19,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-85.0,17100608.038837302
20,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-80.0,5164832.28303473
21,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-75.0,138655334.55057862
22,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-70.0,7392753.429468853
23,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-65.0,60635.77313696423
24,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-60.0,2083.439310380602
25,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-55.0,1380.3086754438552
26,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-50.0,6236.542260550363
27,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-45.0,69214.65054807633
28,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-40.0,1033648.3480581662
29,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-35.0,7546208.450881688
30,5.0,0.7,58.0,-0.2999999999999998,0.10000000000000007,-180.0,-30.0,9635862.450756786
