,R1,R2,heri,R3t,R3p,phi1,phi2,FF
0,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-180.0,1493.1364488220972
1,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-175.0,5900.452685636856
2,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-170.0,58600.40675423387
3,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-165.0,1001096.0938902841
4,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-160.0,21737982.495501574
5,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-155.0,192860612.9111745
6,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-150.0,203356397.6931655
7,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-145.0,1221739716.5668044
8,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-140.0,11062218501.456112
9,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-135.0,3996266176.918768
10,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-130.0,233155364.6160848
11,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-125.0,284596100.88826364
12,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-120.0,150312090.13286704
13,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-115.0,16819617.84510019
14,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-110.0,14730156.99000064
15,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-105.0,123408218.60850316
16,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-100.0,4465868.586091999
17,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-95.0,34975781.890912
18,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-90.0,9954936.50876258
19,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-85.0,680721.3667299264
20,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-80.0,831243.5759053101
21,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-75.0,19687547.455202404
22,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-70.0,21197914.29309868
23,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-65.0,388141.6720692738
24,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-60.0,16562.935076254475
25,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-55.0,1693.109385631721
26,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-50.0,3445.2204724625512
27,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-45.0,16933.87622756804
28,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-40.0,93677.36892555047
29,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-35.0,432455.55065487826
30,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-30.0,3653607.229903622
31,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-25.0,95250753.0609341
32,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-20.0,8906632844.948486
33,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-15.0,6551083767115.704
34,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-10.0,1158068868493474.5
35,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,-5.0,1521547870678.2966
36,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,0.0,3645020696.008455
37,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,5.0,354254230.46715426
38,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,10.0,2223268475.2946234
39,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,15.0,192958291987.88586
40,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,20.0,887100563200.0372
41,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,25.0,21911344596.60057
42,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,30.0,17327472364.562683
43,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,35.0,16257986075955.8
44,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,40.0,912520094517444.4
45,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,45.0,706396345071.3567
46,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,50.0,1918888418.1417856
47,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,55.0,36350921.29276235
48,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,60.0,3701354.60058832
49,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,65.0,793931.8559589812
50,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,70.0,299960.82080122025
51,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,75.0,311640.7169294081
52,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,80.0,365171.0429651935
53,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,85.0,286930.6893190734
54,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,90.0,156137.82900412346
55,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,95.0,72562.77620582926
56,5.0,0.7,58.0,-1.1,-0.3999999999999999,-180.0,100.0,33572.19152336005
