R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-180.0,1240.738543648848
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-175.0,2774.1307519115694
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-170.0,15359.404844868091
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-165.0,190718.01456665355
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-160.0,4833788.594543417
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-155.0,201066369.86837235
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-150.0,2766409171.550405
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-145.0,1588796391.9851048
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-140.0,57793885509.06359
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-135.0,267403897064.5446
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-130.0,10200536957.631535
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-125.0,148895463056.28275
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-120.0,3383963490.189125
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-115.0,1502785304.196202
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-110.0,94048893.5736474
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-105.0,60712364057.56911
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-100.0,2004558353.5118208
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-95.0,1080824849.1765273
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-90.0,96426780.32792394
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-85.0,39910717.01467393
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-80.0,1036678.7519335087
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-75.0,159910.89122641447
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-70.0,38419.030745818665
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-65.0,37933.38266209859
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-60.0,18776.002095985332
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-55.0,4970.6745341935775
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-50.0,8289.171734753148
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-45.0,35148.757998223475
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-40.0,562520.4897191857
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-35.0,12760923.711208563
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-30.0,427642959.30259347
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-25.0,363109337.74412024
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-20.0,11505670.444025854
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-15.0,5776938.391566541
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-10.0,5068885.123579974
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,-5.0,17140801.739870656
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,0.0,488743847.0061164
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,5.0,315636819.7424254
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,10.0,8595686.773924503
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,15.0,842445.024446473
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,20.0,515515.68833423324
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,25.0,468521.4015947133
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,30.0,633946.2699521699
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,35.0,3089830.77982707
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,40.0,39255787.14082652
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,45.0,408297560.98461777
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,50.0,898055878.8340015
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,55.0,216706260.00511935
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,60.0,17219504.9747049
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,65.0,1461761.2728257014
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,70.0,267819.23528764996
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,75.0,166613.48555309078
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,80.0,411140.57283847814
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,85.0,3634315.987413515
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,90.0,51366720.48925382
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,95.0,484384740.90998304
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,100.0,831911665.723927
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,105.0,165579567.5957207
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,110.0,12313849.603442434
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,115.0,897874.1441309098
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,120.0,87187.61912566598
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,125.0,12306.877390503345
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,130.0,3079.5716795670332
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,135.0,1651.1657844163067
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,140.0,1381.2205163151648
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,145.0,1286.6083087715065
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,150.0,1198.6034080339873
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,155.0,1100.1528289381781
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,160.0,1007.5743827458974
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,165.0,940.9413006887949
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,170.0,917.1505814767283
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,175.0,966.429405226912
5.0,0.7,58.0,-1.9,-0.09999999999999987,-180.0,180.0,1240.7385436488478
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-180.0,992.1691644088253
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-175.0,2760.1699000061385
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-170.0,16460.28658865728
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-165.0,198516.6192059868
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-160.0,4892490.210674812
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-155.0,201821576.897163
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-150.0,2785542292.408009
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-145.0,2321292781.537328
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-140.0,46499323449.29658
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-135.0,42664725492.685
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-130.0,1430670203.6545258
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-125.0,457826957880.249
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-120.0,8338759170.802928
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-115.0,884719355.7228199
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-110.0,88149910.44878982
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-105.0,49367266963.011696
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-100.0,58720929825.78513
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-95.0,259505640.64127204
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-90.0,105137071.8691714
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-85.0,40859218.440598324
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-80.0,4857304.071628807
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-75.0,781166.288508081
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-70.0,117058.72330522971
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-65.0,90386.04981316821
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-60.0,225986.46227943146
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-55.0,15267.668694810101
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-50.0,1306.5336654078878
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-45.0,2542.04132271052
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-40.0,21744.559248981874
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-35.0,441048.11971100495
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-30.0,12068435.316858726
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-25.0,68952022.42716508
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-20.0,12744475.520513577
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-15.0,656665.3396816216
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-10.0,328363.58766912995
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,-5.0,754838.0934669427
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,0.0,14455926.99224116
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,5.0,69364256.3797424
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,10.0,10933686.862078467
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,15.0,514402.05831055116
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,20.0,140656.48650090926
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,25.0,162440.39786433824
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,30.0,616451.5454842628
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,35.0,6324910.086438647
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,40.0,75242832.1836409
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,45.0,406156354.9133726
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,50.0,330788840.3280116
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,55.0,47824725.11509754
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,60.0,3893188.2874577935
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,65.0,408849.81394620717
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,70.0,115237.65869039747
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,75.0,139085.42370568335
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,80.0,728565.6305817951
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,85.0,8248579.082991998
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,90.0,95036260.22131468
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,95.0,434412012.4382596
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,100.0,281119788.85638154
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,105.0,36150805.51955265
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,110.0,2849826.0726629
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,115.0,252377.60278805468
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,120.0,29579.82085992674
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,125.0,4796.635432829776
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,130.0,1217.2507416317994
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,135.0,577.6151576927924
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,140.0,445.20113893958444
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,145.0,414.54092291049267
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,150.0,406.8854484845028
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,155.0,408.9690275129691
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,160.0,423.04360198050244
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,165.0,454.7411585203153
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,170.0,513.064356354734
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,175.0,631.8927460149038
5.0,0.7,58.0,-1.9,-0.09999999999999987,-175.0,180.0,992.1691644088237
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-180.0,877.559491470301
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-175.0,2924.287514539855
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-170.0,18131.423780283272
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-165.0,209344.7461663359
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-160.0,4974426.806148625
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-155.0,202936318.05463532
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-150.0,2811859274.7098527
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-145.0,2785310440.9129286
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-140.0,21243588774.40283
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-135.0,6839538420.005508
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-130.0,279683864.32021415
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-125.0,234721301213.7156
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-120.0,274989176021.8485
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-115.0,954384534.7776526
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-110.0,108042915.6805487
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-105.0,12858553653.73499
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-100.0,5655261832430.825
5.0,0.7,58.0,-1.9,-0.09999999999999987,-170.0,-95.0,322824658.6010231
