R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-180.0,2779.5268124210793
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-175.0,3824.9002479208048
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-170.0,16167.144821064334
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-165.0,191423.0202224802
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-160.0,4834475.8843753
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-155.0,201067092.7032286
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-150.0,2766409966.919637
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-145.0,1588797299.9272585
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-140.0,57793886603.17276
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-135.0,267403898502.18185
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-130.0,10200539062.521034
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-125.0,148895466441.42285
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-120.0,3383969190.1581135
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-115.0,1502794782.331921
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-110.0,94063656.5310027
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-105.0,60712384689.976
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-100.0,2004583410.1628528
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-95.0,1080850796.4814243
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-90.0,96449618.62488244
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-85.0,39928024.502778314
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-80.0,1048278.5774202592
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-75.0,167059.34260481046
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-70.0,42701.7535676552
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-65.0,40676.90066487586
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-60.0,20953.09901425294
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-55.0,7184.74773038385
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-50.0,10738.240275315036
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-45.0,36601.053861541586
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-40.0,705226.9023774234
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-35.0,34532573.40382253
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-30.0,791123841.1284211
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-25.0,286758551.98010397
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-20.0,8496566.130104408
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-15.0,22144988.185159918
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-10.0,390722225.2368956
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,-5.0,5713920379.990579
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,0.0,12933583318.443594
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,5.0,2041306566.473182
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,10.0,112518044.00156316
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,15.0,47781675.014986165
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,20.0,83169675.70585486
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,25.0,93832196.19435301
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,30.0,61391442.7559237
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,35.0,52066787.16655504
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,40.0,541843938.3111899
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,45.0,6899265453.867812
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,50.0,10761782060.113773
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,55.0,1306859549.242227
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,60.0,66360042.74269771
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,65.0,4028242.3377873036
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,70.0,371949.65345350327
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,75.0,53763.25698506362
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,80.0,13698.05396697856
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,85.0,8707.394570256969
5.0,0.7,58.0,-1.9,0.8000000000000003,-180.0,90.0,13377.520277852178
