R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-180.0,3562.0226997365507
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-175.0,5211.8978178819925
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-170.0,6029.144213817919
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-165.0,5098.144147445519
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-160.0,3278.21059511849
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-155.0,1854.554058210168
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-150.0,1180.0081922204972
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-145.0,1487.6743362878028
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-140.0,6975.359633593285
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-135.0,66205.43608456568
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-130.0,520252.3697616329
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-125.0,1209084.3468702373
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-120.0,460686.227620998
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-115.0,65176.15960784504
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-110.0,23213.85664047539
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-105.0,82504.64812715712
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-100.0,569464.2486581877
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-95.0,1195720.517872629
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-90.0,410465.5614721979
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-85.0,47339.71404629167
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-80.0,5165.241002499599
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-75.0,1530.780224992563
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-70.0,1280.052640758362
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-65.0,1517.2423667012506
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-60.0,1836.8573152049057
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-55.0,2134.9349203926918
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-50.0,2865.5973594155234
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-45.0,8975.440437443569
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-40.0,105645.14901712032
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-35.0,397392254.3067476
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-30.0,4658478243725.026
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-25.0,136552494.4598739
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-20.0,16963929591.070984
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-15.0,13438783042835.803
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-10.0,199797356.23934746
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,-5.0,49441411.76174545
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,0.0,5231818132.4618
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,5.0,98473545645.3796
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,10.0,622416970217.6298
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,15.0,270093732715718.03
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,20.0,3435252675008.8447
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,25.0,3525673712.7892995
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,30.0,127530621147.71147
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,35.0,6658559089351.032
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,40.0,462355045883.97687
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,45.0,13541007024.121807
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,50.0,4400341249.641532
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,55.0,7091173377967.017
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,60.0,5884837136579508.0
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,65.0,6306949256931.93
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,70.0,12629280892.497679
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,75.0,67096603.66950063
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,80.0,308350364.2018714
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,85.0,11258619402.840073
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,90.0,64214551357.28043
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,95.0,7507889548.078659
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,100.0,196939380.30582932
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,105.0,7073944.019106985
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,110.0,458247.1190433779
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,115.0,48385.799655183924
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,120.0,7258.846650551933
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,125.0,1506.9193481127793
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,130.0,453.5918413729784
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,135.0,214.06697199156872
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,140.0,161.59982605166735
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,145.0,175.0743181083424
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,150.0,234.57193720645373
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,155.0,349.62564393245515
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,160.0,544.9450754490293
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,165.0,860.5656668165966
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,170.0,1368.0726817611553
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,175.0,2209.453886464207
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-180.0,180.0,3562.022699736548
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-180.0,2365.337186150763
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-175.0,3358.2563715016004
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-170.0,3658.361136608475
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-165.0,2917.2427084600436
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-160.0,1828.956424980436
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-155.0,1081.4340671530642
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-150.0,840.2197549461058
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-145.0,1671.4646417543538
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-140.0,11215.73106773811
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-135.0,130611.53068934137
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-130.0,1225519.119430355
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-125.0,2963638.066111734
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-120.0,944680.3999398738
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-115.0,108345.1688974752
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-110.0,39724.661220691996
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-105.0,164152.2674992879
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-100.0,1351573.4015539046
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-95.0,2919578.581525133
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-90.0,835859.4940385184
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-85.0,78156.12911617105
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-80.0,7121.133882125602
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-75.0,1646.7370292576913
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-70.0,983.6934357095032
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-65.0,843.378077570055
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-60.0,823.5236486299317
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-55.0,800.8743417191247
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-50.0,774.7891654324467
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-45.0,1004.4602184989665
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-40.0,4300.459715913407
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-35.0,486403.132231707
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-30.0,3327716596.2355924
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-25.0,401166663.39879036
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-20.0,32622540.49064988
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-15.0,717534327.888762
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-10.0,5452396608.796666
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,-5.0,28335402.689920176
5.0,0.7,58.0,0.9000000000000004,-0.09999999999999987,-175.0,0.0,89940505.27114698
