,R1,R2,heri,R3t,R3p,phi1,phi2,FF
0,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-180.0,2742.9525603119478
1,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-175.0,3943.113915918086
2,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-170.0,4600.196504313477
3,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-165.0,3963.3582616121917
4,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-160.0,2722.092731522879
5,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-155.0,1858.745077164801
6,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-150.0,1637.6700280351067
7,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-145.0,2274.877201310511
8,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-140.0,6491.921796403893
9,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-135.0,36764.358879569314
10,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-130.0,187854.49173970296
11,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-125.0,335006.16680599033
12,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-120.0,148969.38890633307
13,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-115.0,44456.21224867667
14,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-110.0,33579.76210188178
15,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-105.0,62287.75506780918
16,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-100.0,214372.0636549089
17,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-95.0,333933.6194295329
18,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-90.0,130145.50451496374
19,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-85.0,24349.591559501278
20,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-80.0,6144.633079957834
21,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-75.0,2859.968231828371
22,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-70.0,1775.074309922389
23,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-65.0,1326.1873195328644
24,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-60.0,1239.7811997651852
25,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-55.0,1782.4632723966458
26,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-50.0,6694.96156180388
27,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-45.0,69672.78046360731
28,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-40.0,1034103.3066538187
29,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-35.0,7546660.775605503
30,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-30.0,9636312.69570502
31,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-25.0,97065665.11819597
32,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-20.0,7931635927.517091
33,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-15.0,2969045709280.4414
34,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-10.0,55806272038706.23
35,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,-5.0,237038695968.312
36,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,0.0,1245088431058.6755
37,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,5.0,144170429174.6312
38,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,10.0,13981562994.634405
39,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,15.0,10351379084955.652
40,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,20.0,58216308648751.38
41,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,25.0,80817883887.36583
42,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,30.0,1477160124311.9111
43,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,35.0,5752583591245.143
44,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,40.0,37588111141271.15
45,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,45.0,117480307336.07025
46,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,50.0,659500909.8658807
47,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,55.0,15006115.528959244
48,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,60.0,1142170.4448705234
49,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,65.0,298526.7576735945
50,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,70.0,177733.64605706363
51,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,75.0,147425.60726353945
52,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,80.0,129158.99158973918
53,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,85.0,98280.8587526192
54,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,90.0,66517.69966066121
55,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,95.0,46004.81644747515
56,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,100.0,32279.433195039077
57,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,105.0,21359.851075492166
58,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,110.0,14267.96196330797
59,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,115.0,11994.709298271047
60,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,120.0,13582.15351760107
61,5.0,0.7,58.0,1.0,1.4000000000000004,-180.0,125.0,17036.94441660394
