,R1,R2,heri,R3t,R3p,phi1,phi2,FF
0,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-180.0,566.6570134386945
1,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-175.0,896.9358109015192
2,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-170.0,1007.4400372489637
3,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-165.0,796.8656821879512
4,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-160.0,462.74566616923386
5,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-155.0,220.36808458667832
6,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-150.0,128.89834867939678
7,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-145.0,217.99851658288298
8,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-140.0,719.7166803161111
9,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-135.0,2281.895113250847
10,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-130.0,4875.161980525315
11,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-125.0,5551.127552209555
12,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-120.0,3601.662356053834
13,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-115.0,2027.2261941246152
14,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-110.0,1664.5191874909867
15,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-105.0,2637.1284547807963
16,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-100.0,4552.861744795319
17,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-95.0,4448.963496991573
18,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-90.0,2142.3050657271533
19,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-85.0,612.7945862944471
20,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-80.0,138.74769734235835
21,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-75.0,26.41523563495477
22,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-70.0,-20.60231945038239
23,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-65.0,-46.373640447242096
24,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-60.0,-45.97259447298926
25,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-55.0,-19.69159476402617
26,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-50.0,63.85457012505718
27,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-45.0,684.1162888974918
28,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-40.0,10763.726454737907
29,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-35.0,211901.39508230684
30,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-30.0,10214981.414997874
31,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-25.0,64646216.04295738
32,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-20.0,3862109353.830695
33,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-15.0,7.7380333686945e+18
34,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-10.0,142068510781.13953
35,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,-5.0,1781912410.1589246
36,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,0.0,1826132274.7326121
37,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,5.0,1479552135692793.5
38,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,10.0,84746487163245.62
39,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,15.0,20508680729187.246
40,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,20.0,13904716813.541323
41,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,25.0,113307401.34252548
42,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,30.0,1041005210.3815943
43,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,35.0,371751569.61815864
44,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,40.0,5483641655.109268
45,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,45.0,3022003316.1334963
46,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,50.0,82849578490.42668
47,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,55.0,721681961666.9711
48,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,60.0,16205722906.086618
49,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,65.0,462099962.4438124
50,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,70.0,5902172850.332946
51,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,75.0,1955687696.2388191
52,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,80.0,46559396.41147394
53,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,85.0,1689285.363364036
54,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,90.0,735161.9534971957
55,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,95.0,1180271.4345866356
56,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,100.0,2630758.2653241227
57,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,105.0,834163.6235057723
58,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,110.0,72683.53804364424
59,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,115.0,5535.560947680352
60,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,120.0,655.3409759054357
61,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,125.0,137.51829719552634
62,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,130.0,26.731474640278
63,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,135.0,-16.329376145452358
64,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,140.0,-36.700051226377894
65,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,145.0,-45.722529515991795
66,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,150.0,-47.90482038225024
67,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,155.0,-44.343106467435696
68,5.0,0.7,58.0,1.4000000000000004,-0.7999999999999998,-180.0,160.0,-31.944775157997842
