R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,-0.7,1.1,-180.0,-180.0,7847341489.513179
5.0,1.0,58.0,-0.7,1.1,-180.0,-175.0,2325742580.1084557
5.0,1.0,58.0,-0.7,1.1,-180.0,-170.0,1886125781.3096197
5.0,1.0,58.0,-0.7,1.1,-180.0,-165.0,51726224952.72943
5.0,1.0,58.0,-0.7,1.1,-180.0,-160.0,331694479857.4314
5.0,1.0,58.0,-0.7,1.1,-180.0,-155.0,29283186436.03235
5.0,1.0,58.0,-0.7,1.1,-180.0,-150.0,2325706416.681575
5.0,1.0,58.0,-0.7,1.1,-180.0,-145.0,1147460916.6008143
5.0,1.0,58.0,-0.7,1.1,-180.0,-140.0,610255749.5052408
5.0,1.0,58.0,-0.7,1.1,-180.0,-135.0,456768756.4747341
5.0,1.0,58.0,-0.7,1.1,-180.0,-130.0,915903251.0737973
5.0,1.0,58.0,-0.7,1.1,-180.0,-125.0,3903859768.0178833
5.0,1.0,58.0,-0.7,1.1,-180.0,-120.0,21370351289.041454
5.0,1.0,58.0,-0.7,1.1,-180.0,-115.0,161807103327.88055
5.0,1.0,58.0,-0.7,1.1,-180.0,-110.0,528590833200.3476
5.0,1.0,58.0,-0.7,1.1,-180.0,-105.0,234212940946.7167
5.0,1.0,58.0,-0.7,1.1,-180.0,-100.0,90152062026.98917
5.0,1.0,58.0,-0.7,1.1,-180.0,-95.0,21529165333.617893
5.0,1.0,58.0,-0.7,1.1,-180.0,-90.0,4466177038.91322
5.0,1.0,58.0,-0.7,1.1,-180.0,-85.0,1096086783.123247
5.0,1.0,58.0,-0.7,1.1,-180.0,-80.0,390453138.1378184
5.0,1.0,58.0,-0.7,1.1,-180.0,-75.0,223747849.71878746
5.0,1.0,58.0,-0.7,1.1,-180.0,-70.0,251457955.2389008
5.0,1.0,58.0,-0.7,1.1,-180.0,-65.0,695823912.7402893
5.0,1.0,58.0,-0.7,1.1,-180.0,-60.0,3396108199.7469687
5.0,1.0,58.0,-0.7,1.1,-180.0,-55.0,17879553064.227806
5.0,1.0,58.0,-0.7,1.1,-180.0,-50.0,65054366390.42718
5.0,1.0,58.0,-0.7,1.1,-180.0,-45.0,102596165359.22943
5.0,1.0,58.0,-0.7,1.1,-180.0,-40.0,56945950511.32885
5.0,1.0,58.0,-0.7,1.1,-180.0,-35.0,14440571031.251968
