R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,-1.5,-0.5,-180.0,-180.0,610269778.2042036
5.0,1.0,58.0,-1.5,-0.5,-180.0,-175.0,548373092.0663002
5.0,1.0,58.0,-1.5,-0.5,-180.0,-170.0,631893546.9251158
5.0,1.0,58.0,-1.5,-0.5,-180.0,-165.0,903588388.718854
5.0,1.0,58.0,-1.5,-0.5,-180.0,-160.0,1634382572.2238188
5.0,1.0,58.0,-1.5,-0.5,-180.0,-155.0,4908293364.311463
5.0,1.0,58.0,-1.5,-0.5,-180.0,-150.0,25041077109.01098
5.0,1.0,58.0,-1.5,-0.5,-180.0,-145.0,136123957931.10805
5.0,1.0,58.0,-1.5,-0.5,-180.0,-140.0,485243824245.287
5.0,1.0,58.0,-1.5,-0.5,-180.0,-135.0,709436852887.4279
5.0,1.0,58.0,-1.5,-0.5,-180.0,-130.0,356721579173.61816
5.0,1.0,58.0,-1.5,-0.5,-180.0,-125.0,84151384070.46443
5.0,1.0,58.0,-1.5,-0.5,-180.0,-120.0,17217501191.31098
5.0,1.0,58.0,-1.5,-0.5,-180.0,-115.0,22220138412.018925
5.0,1.0,58.0,-1.5,-0.5,-180.0,-110.0,152588642698.79422
5.0,1.0,58.0,-1.5,-0.5,-180.0,-105.0,947712884271.3081
5.0,1.0,58.0,-1.5,-0.5,-180.0,-100.0,2643387528135.357
5.0,1.0,58.0,-1.5,-0.5,-180.0,-95.0,2038611589777.967
5.0,1.0,58.0,-1.5,-0.5,-180.0,-90.0,8173913882768.132
5.0,1.0,58.0,-1.5,-0.5,-180.0,-85.0,591463937204586.0
5.0,1.0,58.0,-1.5,-0.5,-180.0,-80.0,310112351292171.06
5.0,1.0,58.0,-1.5,-0.5,-180.0,-75.0,3090679630419.193
5.0,1.0,58.0,-1.5,-0.5,-180.0,-70.0,47515529760.864174
5.0,1.0,58.0,-1.5,-0.5,-180.0,-65.0,8826999845.572084
5.0,1.0,58.0,-1.5,-0.5,-180.0,-60.0,41590187939.35426
5.0,1.0,58.0,-1.5,-0.5,-180.0,-55.0,210828369913.94522
5.0,1.0,58.0,-1.5,-0.5,-180.0,-50.0,604936682620.7236
5.0,1.0,58.0,-1.5,-0.5,-180.0,-45.0,644491731900.7418
5.0,1.0,58.0,-1.5,-0.5,-180.0,-40.0,248647331388.01245
5.0,1.0,58.0,-1.5,-0.5,-180.0,-35.0,52445622717.9637
5.0,1.0,58.0,-1.5,-0.5,-180.0,-30.0,9448632530.198301
5.0,1.0,58.0,-1.5,-0.5,-180.0,-25.0,1897821864.4554207
5.0,1.0,58.0,-1.5,-0.5,-180.0,-20.0,564340831.2899153
5.0,1.0,58.0,-1.5,-0.5,-180.0,-15.0,646755326.095747
5.0,1.0,58.0,-1.5,-0.5,-180.0,-10.0,7617154104.574462
5.0,1.0,58.0,-1.5,-0.5,-180.0,-5.0,312392287863.8864
5.0,1.0,58.0,-1.5,-0.5,-180.0,0.0,31584433524390.312
5.0,1.0,58.0,-1.5,-0.5,-180.0,5.0,1031997714429535.5
5.0,1.0,58.0,-1.5,-0.5,-180.0,10.0,90030943717345.9
5.0,1.0,58.0,-1.5,-0.5,-180.0,15.0,815675137921.7513
5.0,1.0,58.0,-1.5,-0.5,-180.0,20.0,16101329575.63346
5.0,1.0,58.0,-1.5,-0.5,-180.0,25.0,1053955182.6076704
5.0,1.0,58.0,-1.5,-0.5,-180.0,30.0,410092678.84285057
5.0,1.0,58.0,-1.5,-0.5,-180.0,35.0,392924246.94793683
5.0,1.0,58.0,-1.5,-0.5,-180.0,40.0,494280387.3691215
5.0,1.0,58.0,-1.5,-0.5,-180.0,45.0,916708846.3661729
5.0,1.0,58.0,-1.5,-0.5,-180.0,50.0,4206995649.3422647
5.0,1.0,58.0,-1.5,-0.5,-180.0,55.0,32692554436.983997
5.0,1.0,58.0,-1.5,-0.5,-180.0,60.0,157888634187.99182
5.0,1.0,58.0,-1.5,-0.5,-180.0,65.0,195154957294.99887
5.0,1.0,58.0,-1.5,-0.5,-180.0,70.0,53367345459.439316
5.0,1.0,58.0,-1.5,-0.5,-180.0,75.0,6798376496.628173
5.0,1.0,58.0,-1.5,-0.5,-180.0,80.0,1017616138.6947895
5.0,1.0,58.0,-1.5,-0.5,-180.0,85.0,1031987343.555752
5.0,1.0,58.0,-1.5,-0.5,-180.0,90.0,8113076861.997361
5.0,1.0,58.0,-1.5,-0.5,-180.0,95.0,249486979262.25217
5.0,1.0,58.0,-1.5,-0.5,-180.0,100.0,147514679704808.2
5.0,1.0,58.0,-1.5,-0.5,-180.0,105.0,182626877830129.72
5.0,1.0,58.0,-1.5,-0.5,-180.0,110.0,167684425487883.66
5.0,1.0,58.0,-1.5,-0.5,-180.0,115.0,1343537172349.6287
5.0,1.0,58.0,-1.5,-0.5,-180.0,120.0,87992279332.61238
5.0,1.0,58.0,-1.5,-0.5,-180.0,125.0,8314124296.955935
5.0,1.0,58.0,-1.5,-0.5,-180.0,130.0,6032853895.797951
5.0,1.0,58.0,-1.5,-0.5,-180.0,135.0,33914067802.915188
5.0,1.0,58.0,-1.5,-0.5,-180.0,140.0,13364531504301.738
5.0,1.0,58.0,-1.5,-0.5,-180.0,145.0,731711357146271.1
5.0,1.0,58.0,-1.5,-0.5,-180.0,150.0,1633735039632.6077
5.0,1.0,58.0,-1.5,-0.5,-180.0,155.0,156846844346.52673
5.0,1.0,58.0,-1.5,-0.5,-180.0,160.0,30963780040.815716
5.0,1.0,58.0,-1.5,-0.5,-180.0,165.0,4309003418.371462
5.0,1.0,58.0,-1.5,-0.5,-180.0,170.0,1104099236.4665287
5.0,1.0,58.0,-1.5,-0.5,-180.0,175.0,747868960.5154151
5.0,1.0,58.0,-1.5,-0.5,-180.0,180.0,610269778.2042016
5.0,1.0,58.0,-1.5,-0.5,-175.0,-180.0,459384799354.2388
5.0,1.0,58.0,-1.5,-0.5,-175.0,-175.0,18470166332.1728
5.0,1.0,58.0,-1.5,-0.5,-175.0,-170.0,2691570323.6829643
5.0,1.0,58.0,-1.5,-0.5,-175.0,-165.0,17916262042.187977
5.0,1.0,58.0,-1.5,-0.5,-175.0,-160.0,358512882012.152
5.0,1.0,58.0,-1.5,-0.5,-175.0,-155.0,14843555856916.256
5.0,1.0,58.0,-1.5,-0.5,-175.0,-150.0,979033033530844.4
5.0,1.0,58.0,-1.5,-0.5,-175.0,-145.0,7217365917910848.0
5.0,1.0,58.0,-1.5,-0.5,-175.0,-140.0,396336874274003.0
5.0,1.0,58.0,-1.5,-0.5,-175.0,-135.0,6057540031521.807
5.0,1.0,58.0,-1.5,-0.5,-175.0,-130.0,175052801451.28207
5.0,1.0,58.0,-1.5,-0.5,-175.0,-125.0,12467328771.467318
5.0,1.0,58.0,-1.5,-0.5,-175.0,-120.0,12367226913.192303
5.0,1.0,58.0,-1.5,-0.5,-175.0,-115.0,60910218558.14939
5.0,1.0,58.0,-1.5,-0.5,-175.0,-110.0,235799870195.6437
5.0,1.0,58.0,-1.5,-0.5,-175.0,-105.0,439709986723.7441
5.0,1.0,58.0,-1.5,-0.5,-175.0,-100.0,838006566130.7102
5.0,1.0,58.0,-1.5,-0.5,-175.0,-95.0,15086239607065.104
5.0,1.0,58.0,-1.5,-0.5,-175.0,-90.0,42306811863959.88
5.0,1.0,58.0,-1.5,-0.5,-175.0,-85.0,3692455730212.819
5.0,1.0,58.0,-1.5,-0.5,-175.0,-80.0,116100751259.88419
