R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,0.3,-0.6,-180.0,-180.0,43581126.1356032
5.0,1.0,58.0,0.3,-0.6,-180.0,-175.0,309803989.415994
5.0,1.0,58.0,0.3,-0.6,-180.0,-170.0,2102586374.9884698
5.0,1.0,58.0,0.3,-0.6,-180.0,-165.0,7940157180.907825
5.0,1.0,58.0,0.3,-0.6,-180.0,-160.0,9229176698.027082
5.0,1.0,58.0,0.3,-0.6,-180.0,-155.0,3059672286.6937647
5.0,1.0,58.0,0.3,-0.6,-180.0,-150.0,530729551.89699835
5.0,1.0,58.0,0.3,-0.6,-180.0,-145.0,319821985.9808804
5.0,1.0,58.0,0.3,-0.6,-180.0,-140.0,2012018125.614087
5.0,1.0,58.0,0.3,-0.6,-180.0,-135.0,19970267769.74844
5.0,1.0,58.0,0.3,-0.6,-180.0,-130.0,213935239852.22858
5.0,1.0,58.0,0.3,-0.6,-180.0,-125.0,1431025116029.4292
5.0,1.0,58.0,0.3,-0.6,-180.0,-120.0,2308868508427.3267
5.0,1.0,58.0,0.3,-0.6,-180.0,-115.0,641737068214.0822
5.0,1.0,58.0,0.3,-0.6,-180.0,-110.0,69809464385.50122
5.0,1.0,58.0,0.3,-0.6,-180.0,-105.0,6718186320.641582
5.0,1.0,58.0,0.3,-0.6,-180.0,-100.0,861455112.0372056
5.0,1.0,58.0,0.3,-0.6,-180.0,-95.0,470696100.9821387
5.0,1.0,58.0,0.3,-0.6,-180.0,-90.0,3587314600.5955596
5.0,1.0,58.0,0.3,-0.6,-180.0,-85.0,20358382237.74529
5.0,1.0,58.0,0.3,-0.6,-180.0,-80.0,10370706102.60018
5.0,1.0,58.0,0.3,-0.6,-180.0,-75.0,74703609266.43806
5.0,1.0,58.0,0.3,-0.6,-180.0,-70.0,1805212810688.8955
5.0,1.0,58.0,0.3,-0.6,-180.0,-65.0,726915179247.1332
5.0,1.0,58.0,0.3,-0.6,-180.0,-60.0,15099554613.953358
5.0,1.0,58.0,0.3,-0.6,-180.0,-55.0,3238540200.910373
5.0,1.0,58.0,0.3,-0.6,-180.0,-50.0,20661727185.938313
5.0,1.0,58.0,0.3,-0.6,-180.0,-45.0,43465130409.21114
5.0,1.0,58.0,0.3,-0.6,-180.0,-40.0,412875666029.41693
5.0,1.0,58.0,0.3,-0.6,-180.0,-35.0,2099146145456.0928
5.0,1.0,58.0,0.3,-0.6,-180.0,-30.0,1866379900927.8044
5.0,1.0,58.0,0.3,-0.6,-180.0,-25.0,351337723433.9021
5.0,1.0,58.0,0.3,-0.6,-180.0,-20.0,34148261456.732967
5.0,1.0,58.0,0.3,-0.6,-180.0,-15.0,3332406127.099902
5.0,1.0,58.0,0.3,-0.6,-180.0,-10.0,430907443.761692
5.0,1.0,58.0,0.3,-0.6,-180.0,-5.0,113646724.7133808
5.0,1.0,58.0,0.3,-0.6,-180.0,0.0,103404194.06633398
5.0,1.0,58.0,0.3,-0.6,-180.0,5.0,136114645.2213385
5.0,1.0,58.0,0.3,-0.6,-180.0,10.0,141843520.5412348
5.0,1.0,58.0,0.3,-0.6,-180.0,15.0,105734822.60512346
5.0,1.0,58.0,0.3,-0.6,-180.0,20.0,58414988.90665337
5.0,1.0,58.0,0.3,-0.6,-180.0,25.0,25971633.487311356
5.0,1.0,58.0,0.3,-0.6,-180.0,30.0,10149061.650736136
5.0,1.0,58.0,0.3,-0.6,-180.0,35.0,3746376.5495215305
5.0,1.0,58.0,0.3,-0.6,-180.0,40.0,1373995.2985011484
5.0,1.0,58.0,0.3,-0.6,-180.0,45.0,517138.9919415242
5.0,1.0,58.0,0.3,-0.6,-180.0,50.0,203943.14811428092
5.0,1.0,58.0,0.3,-0.6,-180.0,55.0,85688.05934529092
5.0,1.0,58.0,0.3,-0.6,-180.0,60.0,39201.02317134397
5.0,1.0,58.0,0.3,-0.6,-180.0,65.0,20351.178802457856
5.0,1.0,58.0,0.3,-0.6,-180.0,70.0,12850.710740644885
5.0,1.0,58.0,0.3,-0.6,-180.0,75.0,10321.938693114984
5.0,1.0,58.0,0.3,-0.6,-180.0,80.0,9965.323743182167
5.0,1.0,58.0,0.3,-0.6,-180.0,85.0,10390.643167474445
5.0,1.0,58.0,0.3,-0.6,-180.0,90.0,11278.334384959328
5.0,1.0,58.0,0.3,-0.6,-180.0,95.0,12521.749562503333
5.0,1.0,58.0,0.3,-0.6,-180.0,100.0,12654.859510960605
5.0,1.0,58.0,0.3,-0.6,-180.0,105.0,11527.239317520221
5.0,1.0,58.0,0.3,-0.6,-180.0,110.0,10749.817152075084
5.0,1.0,58.0,0.3,-0.6,-180.0,115.0,10519.143619528973
5.0,1.0,58.0,0.3,-0.6,-180.0,120.0,11249.988466777932
5.0,1.0,58.0,0.3,-0.6,-180.0,125.0,102033.50454771286
5.0,1.0,58.0,0.3,-0.6,-180.0,130.0,5332053.6978204055
5.0,1.0,58.0,0.3,-0.6,-180.0,135.0,27819266.49979678
5.0,1.0,58.0,0.3,-0.6,-180.0,140.0,407271780.5803385
5.0,1.0,58.0,0.3,-0.6,-180.0,145.0,15252861.51948964
5.0,1.0,58.0,0.3,-0.6,-180.0,150.0,20895958.393133707
5.0,1.0,58.0,0.3,-0.6,-180.0,155.0,15982224.67575741
5.0,1.0,58.0,0.3,-0.6,-180.0,160.0,1763273.824100046
5.0,1.0,58.0,0.3,-0.6,-180.0,165.0,1990150.369856428
5.0,1.0,58.0,0.3,-0.6,-180.0,170.0,37128146.306137994
5.0,1.0,58.0,0.3,-0.6,-180.0,175.0,30799651.994266305
5.0,1.0,58.0,0.3,-0.6,-180.0,180.0,43581126.13560299
5.0,1.0,58.0,0.3,-0.6,-175.0,-180.0,4297860.692142508
5.0,1.0,58.0,0.3,-0.6,-175.0,-175.0,4341651.609073653
5.0,1.0,58.0,0.3,-0.6,-175.0,-170.0,14847030.565971103
5.0,1.0,58.0,0.3,-0.6,-175.0,-165.0,103490717.11689983
5.0,1.0,58.0,0.3,-0.6,-175.0,-160.0,20105867.91719799
5.0,1.0,58.0,0.3,-0.6,-175.0,-155.0,49205493.42412919
5.0,1.0,58.0,0.3,-0.6,-175.0,-150.0,251885329.7681545
5.0,1.0,58.0,0.3,-0.6,-175.0,-145.0,1551901976.8075287
5.0,1.0,58.0,0.3,-0.6,-175.0,-140.0,9283779359.418453
5.0,1.0,58.0,0.3,-0.6,-175.0,-135.0,38588527816.834206
5.0,1.0,58.0,0.3,-0.6,-175.0,-130.0,69432621554.94427
5.0,1.0,58.0,0.3,-0.6,-175.0,-125.0,41264864859.603485
5.0,1.0,58.0,0.3,-0.6,-175.0,-120.0,10354958224.597473
5.0,1.0,58.0,0.3,-0.6,-175.0,-115.0,1802571569.5332854
5.0,1.0,58.0,0.3,-0.6,-175.0,-110.0,350893534.4862232
5.0,1.0,58.0,0.3,-0.6,-175.0,-105.0,151576890.16924664
5.0,1.0,58.0,0.3,-0.6,-175.0,-100.0,314507258.833129
5.0,1.0,58.0,0.3,-0.6,-175.0,-95.0,5823821987.348468
5.0,1.0,58.0,0.3,-0.6,-175.0,-90.0,99114266367.25822
5.0,1.0,58.0,0.3,-0.6,-175.0,-85.0,30577828031.36817
5.0,1.0,58.0,0.3,-0.6,-175.0,-80.0,11173556909.22785
5.0,1.0,58.0,0.3,-0.6,-175.0,-75.0,880914869321.3969
5.0,1.0,58.0,0.3,-0.6,-175.0,-70.0,5942775458229.542
5.0,1.0,58.0,0.3,-0.6,-175.0,-65.0,191508445628.84244
5.0,1.0,58.0,0.3,-0.6,-175.0,-60.0,3530370192.252606
5.0,1.0,58.0,0.3,-0.6,-175.0,-55.0,39800152830.997215
5.0,1.0,58.0,0.3,-0.6,-175.0,-50.0,181663567866.56113
5.0,1.0,58.0,0.3,-0.6,-175.0,-45.0,64466671690.85538
5.0,1.0,58.0,0.3,-0.6,-175.0,-40.0,172981706203.8382
5.0,1.0,58.0,0.3,-0.6,-175.0,-35.0,55372194553.40419
5.0,1.0,58.0,0.3,-0.6,-175.0,-30.0,6872125241.646749
5.0,1.0,58.0,0.3,-0.6,-175.0,-25.0,1045644230.3362377
5.0,1.0,58.0,0.3,-0.6,-175.0,-20.0,188868532.03235683
5.0,1.0,58.0,0.3,-0.6,-175.0,-15.0,59862091.645888954
5.0,1.0,58.0,0.3,-0.6,-175.0,-10.0,37406913.64154169
5.0,1.0,58.0,0.3,-0.6,-175.0,-5.0,27401090.817531954
5.0,1.0,58.0,0.3,-0.6,-175.0,0.0,17852694.57660981
5.0,1.0,58.0,0.3,-0.6,-175.0,5.0,10027074.0807215
5.0,1.0,58.0,0.3,-0.6,-175.0,10.0,5019038.27130088
