R1,R2,heri,R3t,R3p,phi1,phi2,FF
5.0,1.0,58.0,0.8,1.1,-180.0,-180.0,356947831.20710874
5.0,1.0,58.0,0.8,1.1,-180.0,-175.0,573138641.5536592
5.0,1.0,58.0,0.8,1.1,-180.0,-170.0,132717789026.57715
5.0,1.0,58.0,0.8,1.1,-180.0,-165.0,296831889356341.4
5.0,1.0,58.0,0.8,1.1,-180.0,-160.0,410683123.90679103
5.0,1.0,58.0,0.8,1.1,-180.0,-155.0,88409037.49833909
5.0,1.0,58.0,0.8,1.1,-180.0,-150.0,376806780.47421557
5.0,1.0,58.0,0.8,1.1,-180.0,-145.0,499769994.1225564
5.0,1.0,58.0,0.8,1.1,-180.0,-140.0,68397289.6865087
5.0,1.0,58.0,0.8,1.1,-180.0,-135.0,79276043.27921347
5.0,1.0,58.0,0.8,1.1,-180.0,-130.0,115384109.95841895
5.0,1.0,58.0,0.8,1.1,-180.0,-125.0,138602976.58237728
5.0,1.0,58.0,0.8,1.1,-180.0,-120.0,153104610.40589184
5.0,1.0,58.0,0.8,1.1,-180.0,-115.0,236445717.7724781
5.0,1.0,58.0,0.8,1.1,-180.0,-110.0,669298429.1708204
5.0,1.0,58.0,0.8,1.1,-180.0,-105.0,2391941658.8618894
5.0,1.0,58.0,0.8,1.1,-180.0,-100.0,7602209305.803802
5.0,1.0,58.0,0.8,1.1,-180.0,-95.0,16649278535.217976
5.0,1.0,58.0,0.8,1.1,-180.0,-90.0,21166775088.19014
5.0,1.0,58.0,0.8,1.1,-180.0,-85.0,14434168163.388529
5.0,1.0,58.0,0.8,1.1,-180.0,-80.0,5877692099.426358
5.0,1.0,58.0,0.8,1.1,-180.0,-75.0,1771796280.5035043
5.0,1.0,58.0,0.8,1.1,-180.0,-70.0,559896569.1768386
5.0,1.0,58.0,0.8,1.1,-180.0,-65.0,149291671.97378716
5.0,1.0,58.0,0.8,1.1,-180.0,-60.0,50416105.557887256
5.0,1.0,58.0,0.8,1.1,-180.0,-55.0,39329925.29620515
5.0,1.0,58.0,0.8,1.1,-180.0,-50.0,54390719.27817261
5.0,1.0,58.0,0.8,1.1,-180.0,-45.0,82006269.90630046
5.0,1.0,58.0,0.8,1.1,-180.0,-40.0,107719181.47180621
5.0,1.0,58.0,0.8,1.1,-180.0,-35.0,113085913.63311033
