R1,R2,heri,phi,E_mono_i,E_mono_t,E_t1,E_t3,E_p,E
4.8,0.5,56.0,27.0,-1059765.414303523,-1059765.3748080437,-14.11620140611194,-9.611884424928576,-3.289432520279661,-2119584.8241482694
4.9,0.5,56.0,28.0,-1059765.4591453879,-1059765.4205786232,-14.330427044769749,-9.867952430387959,-4.69880115496926,-2119588.6740852715
4.9,0.6,56.0,27.0,-1059765.41442275,-1059765.3751845497,-14.570016637910157,-9.981964722508565,-6.065950916847214,-2119592.025471854
4.9,0.7,56.0,27.0,-1059765.4147867057,-1059765.3751155238,-14.74549353425391,-10.071661002235487,-6.4621795560233295,-2119593.348570415
4.9,0.8,56.0,-27.0,-1059765.3749523712,-1059765.4137764147,-12.363101618364453,-12.282805439084768,-5.89555057650432,-2119591.8716440536
4.9,0.9,56.0,85.0,-1059767.999374894,-1059768.0030395524,-13.414802103536204,-12.844960272312164,-5.7016186111141,-2119599.9251764202
5.2,1.0,56.0,85.0,-1059768.0002471327,-1059768.0027383475,-12.14355469448492,-12.466521541588008,-4.499968336662278,-2119594.2230746257
4.9,1.0,56.0,85.0,-1059767.9996823738,-1059768.003842765,-13.451956970384344,-12.995838776696473,-5.317915071500465,-2119599.534946776
4.9,1.1,56.0,85.0,-1059767.9999522031,-1059768.0046585281,-13.424377905903384,-13.091032043797895,-4.822928908048198,-2119598.6812884468
4.9,1.2,56.0,85.0,-1059768.0000212293,-1059768.005229562,-13.329856074415147,-13.126705987378955,-4.275890790391713,-2119597.4701564955
5.0,0.5,56.0,85.0,-1059768.0007428657,-1059768.0031713294,-12.968473065411672,-12.491916870931163,-4.88049040036276,-2119596.6856748685
5.0,0.6,56.0,85.0,-1059768.0001530063,-1059768.0025500946,-13.126536559313536,-12.721692207735032,-5.752478296868503,-2119599.2041172287
5.2,0.9,56.0,85.0,-1059768.0002534078,-1059768.0021924137,-12.227415131404996,-12.49164076661691,-5.033402037341148,-2119595.5073616924
5.0,0.7,56.0,85.0,-1059767.9997200244,-1059768.0022237892,-13.245154774747789,-12.914783309912309,-5.959324417868629,-2119600.2404688187
5.0,0.8,56.0,85.0,-1059767.9995380465,-1059768.0022865403,-13.320393223781139,-13.069144495064393,-5.832805851707235,-2119600.4465117278
5.0,0.9,56.0,85.0,-1059767.9996070724,-1059768.0027320725,-13.34834879427217,-13.181933142244816,-5.513786042807624,-2119600.090475104
5.0,1.0,56.0,85.0,-1059767.9998016008,-1059768.003466259,-13.32581491000019,-13.250243880553171,-5.065317195607349,-2119599.286019832
5.0,1.1,56.0,85.0,-1059767.9999647534,-1059768.0042757469,-13.251222796505317,-13.271679622586817,-4.534857892664149,-2119598.119761124
5.0,1.2,56.0,85.0,-1059767.9999647534,-1059768.0049346325,-13.124628928955644,-13.244200959568843,-3.981149343540892,-2119596.70485785
5.2,0.8,56.0,85.0,-1059768.0002973336,-1059768.0019727852,-12.278588571585715,-12.485729622654617,-5.48888017074205,-2119596.5086668488
5.1,0.5,56.0,85.0,-1059768.0008558175,-1059768.0032340803,-12.75415957532823,-12.593535840511322,-5.458012953866273,-2119597.615506637
5.1,0.6,56.0,85.0,-1059768.0004291106,-1059768.0025689197,-12.847464037127793,-12.74731971649453,-5.917381649138406,-2119599.027328836
5.1,0.7,56.0,85.0,-1059768.0000777051,-1059768.0021610383,-12.905433410778642,-12.867343554040417,-5.922633908223361,-2119599.3930604896
5.1,0.8,56.0,85.0,-1059767.9999020023,-1059768.0021108375,-12.925607857527211,-12.95283551630564,-5.681237086188048,-2119599.1213737596
5.1,0.9,56.0,85.0,-1059767.9999020023,-1059768.002449693,-12.90579109149985,-13.002352330368012,-5.289344541030005,-2119598.397327621
5.2,0.7,56.0,85.0,-1059768.0004542111,-1059768.0021233878,-12.29681146191433,-12.449371693190187,-5.817218503449112,-2119597.1293809162
5.1,1.0,56.0,85.0,-1059767.9999898537,-1059768.0030897532,-12.844677892513573,-13.01431894628331,-4.789112394209951,-2119597.299298073
5.1,1.1,56.0,85.0,-1059768.0000463296,-1059768.0038804156,-12.742312186397612,-12.987160313408822,-4.240693754283711,-2119595.9442592533
5.1,1.2,56.0,85.0,-1059767.9999584781,-1059768.004589502,-12.59939050883986,-12.919439434306696,-3.689990978455171,-2119594.4221898234
5.2,0.5,56.0,85.0,-1059768.000956219,-1059768.0033156567,-12.235986917512491,-12.285365679534152,-5.780364840989932,-2119596.6077067517
5.2,1.1,56.0,85.0,-1059768.000196932,-1059768.0034725342,-12.027496719965711,-12.409330280032009,-3.94614056032151,-2119592.769604587
4.8,1.2,56.0,-27.0,-1059765.3734149716,-1059765.4164496073,-12.16469550691545,-12.122282105498016,-4.534606888890266,-2119588.433033582
5.2,0.6,56.0,85.0,-1059768.00069894,-1059768.0026065705,-12.282315980875865,-12.382698755711317,-5.9592114659026265,-2119597.251757915
4.8,1.0,56.0,-27.0,-1059765.3750527727,-1059765.415175762,-12.319150818046182,-12.021943256258965,-5.502001404995099,-2119590.4764194936
4.8,0.6,56.0,27.0,-1059765.4144980514,-1059765.3752473008,-14.302841705037281,-9.737900983076543,-5.505603312514722,-2119589.8824373535
4.8,1.1,56.0,-27.0,-1059765.3744001624,-1059765.4158911235,-12.272564475424588,-12.10528913512826,-5.061269756406546,-2119589.66853802
5.2,1.2,56.0,85.0,-1059768.0000149542,-1059768.0042067207,-11.87952986243181,-12.318749211961403,-3.40829546446912,-2119591.2173707527
4.8,0.9,56.0,-27.0,-1059765.3752849514,-1059765.414416475,-12.308909854851663,-11.877741458825767,-5.812292549526319,-2119590.787589153
4.8,0.8,56.0,26.0,-1059765.3733271202,-1059765.3309701951,-14.386187583208084,-9.888823413290083,-6.464501343201846,-2119592.1833219947
4.8,0.7,56.0,27.0,-1059765.4148996577,-1059765.3749711963,-14.398831909522414,-9.832862071460113,-6.333590206922963,-2119591.92043923
4.8,0.8,57.0,-27.0,-1059765.3751719997,-1059765.4144855011,-12.122765288688242,-11.546861710492522,-6.048474763287231,-2119590.225861026
5.0,1.1,57.0,86.0,-1059767.9990360385,-1059768.0038490403,-13.194150761933997,-13.286331980954856,-4.292350378120318,-2119597.548551321
5.1,0.8,57.0,86.0,-1059767.9991364402,-1059768.0006801146,-12.94200469343923,-13.031512720510364,-5.578331721480936,-2119599.103514826
4.9,1.0,57.0,86.0,-1059767.9990234883,-1059768.0032968314,-13.370035540312529,-12.908614886458963,-5.144145002355799,-2119598.847911178
5.1,1.1,57.0,86.0,-1059767.9990548638,-1059768.0034411587,-12.71886841300875,-13.066232848679647,-3.9872110900469124,-2119595.5471207257
4.9,1.1,57.0,86.0,-1059767.9990674139,-1059768.0042255463,-13.319665312301368,-13.005835011135787,-4.598230127710849,-2119597.8507538624
5.0,1.0,57.0,86.0,-1059767.9990799641,-1059768.0028701245,-13.286187653895468,-13.264915064908564,-4.852666607126594,-2119598.8094887407
5.2,0.7,57.0,86.0,-1059767.9995192213,-1059768.0002785083,-12.33857225254178,-12.569207277847454,-5.75972603703849,-2119597.3348088646
4.8,0.9,57.0,-26.0,-1059765.332909201,-1059765.372304279,-12.244571254355833,-11.83812047704123,-5.7963412455283105,-2119590.4632794335
5.0,0.5,57.0,86.0,-1059767.9992305667,-1059768.0010252453,-12.99494771240279,-12.483288608724251,-5.715837987605482,-2119598.3884044294
4.9,0.9,57.0,-26.0,-1059765.3328652754,-1059765.3721725019,-12.444188460707664,-12.384556184988469,-5.587060385383666,-2119591.5366478395
5.1,0.7,57.0,86.0,-1059767.999130165,-1059768.0003538094,-12.93335133115761,-12.943014984717593,-5.939708455465734,-2119599.6316335173
5.2,0.6,57.0,86.0,-1059767.9995756971,-1059768.0005483376,-12.333508246811107,-12.50020627817139,-6.052365325624123,-2119597.7722837357
5.1,1.0,57.0,86.0,-1059767.999199191,-1059768.002449693,-12.835014238487929,-13.094834754243493,-4.549968333449215,-2119596.9612835366
5.2,0.9,57.0,86.0,-1059767.9994878457,-1059768.0011068215,-12.248882248066366,-12.61401776690036,-4.805239401292056,-2119595.3368734997
5.0,0.6,57.0,86.0,-1059767.9989042613,-1059768.000510687,-13.142964771483094,-12.719947729958221,-6.109926818171516,-2119599.9450935875
4.8,0.6,57.0,27.0,-1059765.4144980514,-1059765.3751971,-14.198260888690129,-9.621366101317108,-6.33765647187829,-2119591.1042620754
5.0,0.8,57.0,86.0,-1059767.998822685,-1059768.0009185686,-13.312241868581623,-13.078412817558274,-5.790950934868306,-2119600.362952496
5.0,0.7,57.0,86.0,-1059767.9987662092,-1059768.0004604862,-13.250149754574522,-12.919150779256597,-6.068661760305986,-2119600.4751512837
4.9,1.2,57.0,86.0,-1059767.998885436,-1059768.0046836284,-13.200927869882435,-13.041082247626036,-4.035284631187096,-2119596.5581585616
5.0,0.9,57.0,86.0,-1059767.9989732874,-1059768.0017970826,-13.32520622597076,-13.194696695776656,-5.372194685973227,-2119599.7849655855
5.1,0.9,57.0,86.0,-1059767.999199191,-1059768.0014394016,-12.909512226236984,-13.082711261231452,-5.099246661411598,-2119598.1835788907
4.9,0.5,57.0,28.0,-1059765.4591767632,-1059765.4209614042,-14.381920515093952,-9.847570905927569,-5.9055781862698495,-2119591.1502773818
4.9,0.6,57.0,28.0,-1059765.4594465925,-1059765.421256334,-14.604297508951277,-9.962273458717391,-6.605038482928649,-2119593.223921828
5.2,1.0,57.0,86.0,-1059767.999387444,-1059768.002029261,-12.15436041704379,-12.588340057991445,-4.243912880541757,-2119593.9746434162
5.1,0.5,57.0,86.0,-1059767.999450195,-1059768.0010942714,-12.80144245410338,-12.660535083152354,-6.004649464972317,-2119598.933798471
4.8,0.7,57.0,27.0,-1059765.4148682822,-1059765.3743750618,-14.25410300353542,-9.710058364551514,-6.681456650607288,-2119592.0804793816
5.1,0.6,57.0,86.0,-1059767.9992368417,-1059768.000516962,-12.885622920235619,-12.818981358082965,-6.12456662626937,-2119599.658095613
4.9,0.7,57.0,27.0,-1059765.4147678807,-1059765.3746574414,-14.742927018320188,-10.042770441854373,-6.654385869158432,-2119593.669591981
5.2,1.2,57.0,86.0,-1059767.9987411087,-1059768.003780014,-11.867927202256396,-12.43433655332774,-3.1690572772640735,-2119590.9451631885
4.8,0.5,57.0,28.0,-1059765.459220689,-1059765.4210806312,-14.04398755542934,-9.50330009451136,-5.03634505905211,-2119588.047566738
5.0,1.2,57.0,86.0,-1059767.9987913095,-1059768.0044451747,-13.049346554325894,-13.256606832146645,-3.7339731545653194,-2119596.0830895663
4.8,1.1,57.0,-26.0,-1059765.3316855566,-1059765.3745193891,-12.207472863607109,-12.000821270048618,-4.8711028506513685,-2119588.8649989143
5.2,1.1,57.0,86.0,-1059767.9991427152,-1059768.0030081768,-12.02728964202106,-12.528889760840684,-3.687079332070425,-2119592.4886683617
4.8,1.0,57.0,-26.0,-1059765.3325515203,-1059765.3734588972,-12.2564939444419,-11.951492708874866,-5.384606834035367,-2119589.8911973923
4.9,0.8,57.0,-27.0,-1059765.3750213971,-1059765.4144855011,-12.304962817113847,-12.267977377632633,-5.928971759043634,-2119591.793330806
5.2,0.8,57.0,86.0,-1059767.999506671,-1059768.0004730364,-12.31040332885459,-12.60729713505134,-5.330866877688095,-2119596.4971143906
5.1,1.2,57.0,86.0,-1059767.9987411087,-1059768.0041376948,-12.561827760422602,-12.995386969298124,-3.443266596645117,-2119594.003841456
4.8,1.2,57.0,-26.0,-1059765.3304681873,-1059765.375322602,-12.093724125763401,-11.98142493586056,-4.31006498541683,-2119587.4762188834
5.2,0.5,57.0,86.0,-1059767.9996698236,-1059768.001194673,-12.29596432321705,-12.400200009578839,-6.119176314910874,-2119597.631545792
4.8,1.1,58.0,-26.0,-1059765.3318424341,-1059765.3752975015,-12.016515295254067,-11.832140306709334,-4.643423397559673,-2119587.6912979344
4.8,0.6,58.0,28.0,-1059765.459534444,-1059765.4209676792,-14.06089894962497,-9.491308378754184,-6.845098708290607,-2119591.6751141967
5.0,0.8,58.0,86.0,-1059767.9983834282,-1059768.0013390002,-13.391377154737711,-13.157259449129924,-5.686646222369745,-2119600.470288081
5.1,0.6,58.0,86.0,-1059767.9988603357,-1059768.0003977353,-13.02835634490475,-12.910578992916271,-6.208797293482348,-2119600.294723334
5.0,0.9,58.0,86.0,-1059767.9986469822,-1059768.0023179157,-13.411582977045327,-13.242130176862702,-5.184261716203764,-2119599.676914638
5.1,0.5,58.0,86.0,-1059767.9992242914,-1059768.000767966,-12.934970306931064,-12.776536581804976,-6.324001854052767,-2119600.071009743
5.2,0.7,58.0,86.0,-1059767.9990360385,-1059768.0003538094,-12.536514007020742,-12.603406572947279,-5.636884679086506,-2119597.5530003663
5.0,1.2,58.0,86.0,-1059767.9991364402,-1059768.0043447732,-13.14160307473503,-13.206769987940788,-3.492683009710163,-2119595.6855933582
5.0,1.0,58.0,86.0,-1059767.9989607374,-1059768.003328207,-13.377314656041563,-13.280458487337455,-4.617739413166419,-2119598.553314057
4.8,0.7,58.0,27.0,-1059765.4148431816,-1059765.3735404736,-14.067519180243835,-9.569778503617272,-6.852653929032385,-2119591.768286881
5.1,0.8,58.0,86.0,-1059767.9986846328,-1059768.0010440706,-13.098110356600955,-13.075739624677226,-5.419897996820509,-2119599.1872246596
5.2,0.8,58.0,86.0,-1059767.9990360385,-1059768.0007805163,-12.511909340042621,-12.623769272118807,-5.124572965083644,-2119596.5203197096
5.1,0.7,58.0,86.0,-1059767.9986658075,-1059768.0004918617,-13.08370900223963,-13.01089901686646,-5.877754392800853,-2119599.9438824933
5.0,1.1,58.0,86.0,-1059767.9991552653,-1059768.004074944,-13.287310896907002,-13.269590014126152,-4.044923184905201,-2119597.2068784013
5.0,0.5,58.0,86.0,-1059767.9990423135,-1059768.0007303155,-13.039030289975926,-12.654316458851099,-6.239093476207927,-2119599.864653079
5.0,0.7,58.0,86.0,-1059767.9983269523,-1059768.0006550143,-13.31965903681703,-13.028776776744053,-6.0816512170713395,-2119600.859156028
4.8,1.2,58.0,-26.0,-1059765.3306250647,-1059765.3757555839,-11.877390053123236,-11.798806975828484,-4.070067510707304,-2119586.198909728
5.2,1.1,58.0,86.0,-1059767.9992054661,-1059768.003340757,-12.229209809796885,-12.491352112498134,-3.435617250390351,-2119592.3149045687
4.9,0.5,58.0,29.0,-1059765.5073067802,-1059765.4704342927,-14.413528193952516,-9.819841239135712,-6.666798017453402,-2119592.778075974
5.2,0.5,58.0,86.0,-1059767.9993999943,-1059768.0008369922,-12.482811701018363,-12.471830275608227,-6.293247589608654,-2119598.4960161187
4.9,0.6,58.0,28.0,-1059765.4594465925,-1059765.4211120068,-14.608451625332236,-9.925438621779904,-6.9019573896657676,-2119593.752253873
5.2,0.6,58.0,86.0,-1059767.9991740906,-1059768.00037891,-12.52651777304709,-12.552634738851339,-6.045236811740324,-2119598.248331648
4.8,1.0,58.0,-26.0,-1059765.3326895726,-1059765.3745005638,-12.088553443085402,-11.795217618579045,-5.205879435874522,-2119588.8864911315
