R1,R2,heri,phi,E_mono_i,E_mono_t,E_t1,E_t3,E_p,E
4.6,0.5,56.0,11.0,-1059765.068212933,-1059765.0381803042,-8.135447521461174,-8.870970817748457,1.9414845644496381,-2119560.2362607867
5.0,0.5,56.0,11.0,-1059765.0672967683,-1059765.037533969,-11.997326039010659,-11.034920227713883,-5.569163799984381,-2119587.3076508706
4.8,0.9,56.0,11.0,-1059765.0700578124,-1059765.0391780452,-11.624359195819125,-11.710334340808913,-6.266616064822301,-2119589.3118550605
4.8,0.8,56.0,11.0,-1059765.0697754328,-1059765.0391341194,-11.675080829299986,-11.647878270596266,-6.468366804998368,-2119589.691561362
5.2,1.0,56.0,-138.0,-1059766.427776099,-1059766.4087939213,-13.238528269110247,-11.33254822040908,-7.957372733624652,-2119597.8934684666
5.0,0.6,56.0,11.0,-1059765.0680748806,-1059765.0381865795,-12.07803637557663,-11.207008569734171,-6.3509534085169435,-2119589.3782581678
4.8,0.7,56.0,11.0,-1059765.0692608745,-1059765.038901941,-11.700651861261576,-11.537593388231471,-6.326304815709591,-2119589.2372629456
5.1,0.8,56.0,-139.0,-1059766.3723418654,-1059766.3524623488,-13.972476515220478,-11.559575063176453,-4.620123951230198,-2119593.0291552735
5.1,0.9,56.0,-138.0,-1059766.427650597,-1059766.409076301,-13.858985057100654,-12.046761277364567,-7.039727210300043,-2119598.7276739874
4.8,0.5,56.0,11.0,-1059765.0677172,-1059765.037847724,-11.644244987983257,-11.161752548534423,-3.237524893367663,-2119582.1926097837
5.0,0.7,56.0,11.0,-1059765.068840443,-1059765.0387136878,-12.1206694052089,-11.3369847163558,-6.463302799034864,-2119589.949467972
4.7,0.9,56.0,11.0,-1059765.0701080132,-1059765.0391403944,-10.261294523952529,-11.017600951250643,-6.403469720855355,-2119585.4739788
5.1,1.0,56.0,-137.0,-1059766.4834989868,-1059766.4663616887,-13.646918052108958,-12.491923146415502,-7.800959591055289,-2119600.8294622544
4.7,0.8,56.0,11.0,-1059765.0698946598,-1059765.0391403944,-10.340229007182643,-10.951097441604361,-6.452352749649435,-2119585.596393451
5.2,1.1,56.0,-137.0,-1059766.483555463,-1059766.4661483353,-12.954623919911683,-11.731650855392218,-7.543222408974543,-2119597.4086981667
4.8,0.6,56.0,11.0,-1059765.068539238,-1059765.0384626838,-11.69312174175866,-11.376448819879442,-5.483521235641092,-2119587.213185516
5.0,1.2,56.0,-137.0,-1059766.4831475813,-1059766.4655396508,-13.855941633461043,-13.167230582563207,-7.575708601390943,-2119602.146448867
4.8,1.0,56.0,-137.0,-1059766.4833672098,-1059766.465426699,-13.108156791888177,-13.424302604747936,-5.623204961651936,-2119597.260122625
5.0,1.1,56.0,-137.0,-1059766.4833609348,-1059766.4655459258,-13.974296294618398,-13.182315923273563,-7.868473391979933,-2119602.99907808
4.9,0.9,56.0,11.0,-1059765.0699887862,-1059765.0392031455,-12.154059212189168,-11.80035065091215,-6.077076669083908,-2119590.172164996
5.2,0.8,56.0,-140.0,-1059766.317961849,-1059766.2963127538,-13.575978046748787,-10.485679549630731,-6.35169387049973,-2119593.4409775366
4.9,0.8,56.0,11.0,-1059765.0696311055,-1059765.039102744,-12.186288125813007,-11.743554720422253,-6.390304560773075,-2119590.7490286636
4.9,1.0,56.0,-137.0,-1059766.48337976,-1059766.4655961266,-13.940950413001701,-13.516389697324485,-6.794301774119958,-2119601.4522596556
4.9,0.7,56.0,11.0,-1059765.0690537964,-1059765.0388140893,-12.189413125626743,-11.642575811129063,-6.460491554113105,-2119590.6928288676
4.9,1.1,56.0,-137.0,-1059766.4832919086,-1059766.4654580744,-13.843259656336159,-13.529121874831617,-7.777810747269541,-2119603.2491345396
5.2,0.6,56.0,10.0,-1059765.061448375,-1059765.034402694,-10.739789724349976,-10.232322386931628,-6.453940350329503,-2119584.947955992
