R1,R2,heri,R3t,R3p,phi1,phi2,E_mono_i,E_mono_t,E_t1,E_t2,E_t3,E_t4,E_p,E
5.0,0.7,58,-0.5,-0.5,-149.0,41.0,-1059765.8978815544,-1059766.2825451845,-8.70817589852959,199.94043022580445,-9.926041031489149,-8.48510236828588,-8.88943843729794,-2119377.1381926863
5.0,0.7,58,-0.5,-0.5,164.0,-126.0,-1059765.5996323265,-1059767.0871510566,-8.614990663249046,54.28732709796168,368.7017146060243,-8.923298876499757,-8.929818705888465,-2119145.0956686307
5.0,0.7,58,-0.5,-0.5,28.0,6.0,-1059765.458906934,-1059765.0515337172,1497.1450284295715,-11.471660912269726,-9.261633443646133,-9.711212982889265,-7.956349892076105,-2118079.7226193445
5.0,0.7,58,-0.5,-1.0,-150.0,42.0,-1059765.8622201611,-1059766.3563340853,-8.70543367951177,458.26253342209384,-9.927220750134438,-8.395933197578415,-9.826750124106184,-2119120.6381086996
5.0,0.7,58,-0.5,-1.0,165.0,-127.0,-1059765.598659686,-1059767.035902315,-8.600959540111944,8.458746948745102,368.64228940871544,-8.860987133346498,-8.31549269054085,-2119189.626457698
5.0,0.7,58,-0.5,-1.0,29.0,6.0,-1059765.5072440293,-1059765.051521167,1638.650466160616,-11.552804230712354,-9.2491585444659,-9.605709726689383,-8.326354888733476,-2117938.968681315
5.0,0.7,58,-0.5,-1.5,-150.0,42.0,-1059765.8622201611,-1059766.3563340853,-8.70543367951177,791.4675823783036,-9.927220750134438,-7.949290405027568,-8.211125227622688,-2118783.7551671583
5.0,0.7,58,-0.5,-1.5,163.0,-127.0,-1059765.6016968344,-1059767.0358081886,-8.626467821421102,-2.90010649128817,366.1004911279306,-8.311031094752252,-6.896636104909703,-2119200.1678915126
5.0,0.7,58,-0.5,-1.5,29.0,4.0,-1059765.5072754049,-1059765.0466516893,1271.1583523808513,-11.216477695852518,-9.260604327078909,-9.281236856011674,-7.973851146176457,-2118305.1015958847
5.0,0.7,58,-0.5,-2.0,-150.0,41.0,-1059765.862151135,-1059766.2824636083,-8.711583277909085,712.295618318487,-9.923851021332666,-7.541440280387178,-6.468115800991654,-2118858.9621026064
5.0,0.7,58,-0.5,-2.0,160.0,-126.0,-1059765.618037195,-1059767.086912603,-8.668843572027981,-7.873593873810023,363.76700106612407,-7.805389811517671,-5.583006670931354,-2119204.4517893307
5.0,0.7,58,-0.5,-2.0,27.0,2.0,-1059765.4136760132,-1059765.042183818,728.420818090206,-10.813145643565804,-9.301329726120457,-9.163108098553494,-7.572778129717335,-2118846.458181469
5.0,0.7,58,-0.5,0.0,-149.0,39.0,-1059765.8978815544,-1059766.1363792801,-8.72013623896055,172.66400124900974,-9.9187932908535,-8.328915129881352,-1.6747614389751107,-2119389.687627123
5.0,0.7,58,-0.5,0.0,28.0,4.0,-1059765.4588881086,-1059765.0466830647,1137.1040436911862,-11.087034932803363,-9.273430631496012,-9.638214744860306,-6.510811581276357,-2118436.421830954
5.0,0.7,58,-0.5,0.5,-150.0,38.0,-1059765.8621072094,-1059766.0647364636,-8.729448487749323,136.1431075015571,-9.916446403600276,-8.33003209787421,15.730270077940077,-2119391.299123005
5.0,0.7,58,-0.5,0.5,28.0,2.0,-1059765.4588881086,-1059765.042121067,834.9658915919717,-10.877590920077637,-9.287386453710496,-9.7855164417997,-4.318787374068052,-2118734.1231861473
5.0,0.7,58,-0.5,1.0,-151.0,41.0,-1059765.8290939084,-1059766.2823569316,-8.715185185195878,89.56464035250247,-9.918423059862107,-8.366553179221228,56.709402746288106,-2119356.1281664195
5.0,0.7,58,-0.5,1.0,-174.0,-130.0,-1059765.6487412592,-1059766.875259755,-8.405025817453861,39.20428965985775,413.4850764484145,-8.80596705689095,22.77084442647174,-2119051.5039389273
5.0,0.7,58,-0.5,1.0,26.0,2.0,-1059765.3717834456,-1059765.0422528442,632.6391098627355,-10.797382592456415,-9.316007185261697,-10.002980032470077,-2.4509411081671715,-2118932.7931784536
5.0,0.7,58,-0.5,1.5,-150.0,43.0,-1059765.8623080126,-1059766.4302108376,-8.699196230620146,43.49172663432546,-9.930985810002312,-8.10665108752437,209.94607090111822,-2119095.645483542
5.0,0.7,58,-0.5,1.5,180.0,-129.0,-1059765.6503476847,-1059766.9300037273,-8.449020543834195,169.2759994578082,395.7064129274804,-7.700294437119737,7.382234718184918,-2118968.982784571
5.0,0.7,58,-0.5,1.5,23.0,1.0,-1059765.265765631,-1059765.0404016897,332.69820285378955,-10.36101841321215,-9.37389498250559,-10.099001612747088,-2.1164657280314714,-2119231.6748109316
5.0,0.7,58,-1.0,-0.5,-150.0,39.0,-1059765.8623707634,-1059766.1347038285,-8.610999699681997,190.84201213368215,-9.728551084175706,-8.327057700138539,-8.852854604134336,-2119385.5273801507
5.0,0.7,58,-1.0,-0.5,-151.0,-148.0,-1059765.8361533957,-1059765.935488229,-8.268266288097948,-11.194408169249073,1172.746906620916,-8.81292614294216,-8.827352597611025,-2118404.9550407995
