a,b,theta,E,E_p,E_t,machine_type,status,file_name
5.5,9.6,0.0,-26.544147397391487,-1.218849068507552,-6.026612315094098,2,Done,anthracene_theta=0_a=5.5_b=9.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.5,0.0,-25.91153197642416,-0.4040298436302692,-6.275868072290906,2,Done,anthracene_theta=0_a=6.5_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.2,0.0,-20.966758196707808,-4.280096362810582,-3.1016413677716628,1,Done,anthracene_theta=0_a=3.5_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.5,5.0,-26.218939085258175,-0.4193724631331861,-6.34504853974795,1,Done,anthracene_theta=5_a=6.5_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.2,5.0,-21.370831965468824,-4.508813717518933,-3.0883011326077394,1,Done,anthracene_theta=5_a=3.5_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.4,9.5,0.0,-25.99880355712957,-1.3344426857074725,-5.832479546428658,1,Done,anthracene_theta=0_a=5.4_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.4,0.0,-26.038065603002906,-0.4514206538442522,-6.2838060738286,2,Done,anthracene_theta=0_a=6.4_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.1,0.0,-17.4159200694412,-2.470307321753353,-3.1188263564836234,2,Done,anthracene_theta=0_a=3.4_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.4,5.0,-26.340678535168987,-0.4681061446899548,-6.35111656144727,1,Done,anthracene_theta=5_a=6.4_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.1,5.0,-17.888010903261602,-2.7176353682298213,-3.1131850417004903,1,Done,anthracene_theta=5_a=3.4_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.5,5.0,-26.32816849579104,-0.4681061446899548,-6.347989051602781,1,Done,anthracene_theta=5_a=6.4_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.5,0.0,-26.040821626782414,-0.4514206538442522,-6.284495079773477,2,Done,anthracene_theta=0_a=6.4_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.4,9.6,0.0,-26.246966191334646,-1.3344426857074725,-5.894520204979926,1,Done,anthracene_theta=0_a=5.4_b=9.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.2,0.0,-17.174183137714866,-2.470307321753353,-3.0583921235520397,2,Done,anthracene_theta=0_a=3.4_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.2,5.0,-17.631384414155036,-2.7176353682298213,-3.0490284194238484,1,Done,anthracene_theta=5_a=3.4_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.6,5.0,-26.29879600787536,-0.4681061446899548,-6.340645929623863,1,Done,anthracene_theta=5_a=6.4_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.6,0.0,-26.02586680790409,-0.4514206538442522,-6.2807563750538975,2,Done,anthracene_theta=0_a=6.4_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.4,9.7,0.0,-26.41698626126163,-1.3344426857074725,-5.937025222461671,1,Done,anthracene_theta=0_a=5.4_b=9.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.3,0.0,-16.887541589327153,-2.470307321753353,-2.9867317364551127,2,Done,anthracene_theta=0_a=3.4_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.3,5.0,-17.330910035176206,-2.7176353682298213,-2.97390982467914,1,Done,anthracene_theta=5_a=3.4_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.4,5.0,-26.29527442133985,-0.4193724631331861,-6.364132373768372,1,Done,anthracene_theta=5_a=6.5_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.4,0.0,-25.97212434140965,-0.4040298436302692,-6.291016163537277,2,Done,anthracene_theta=0_a=6.5_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.1,5.0,-21.68436859175563,-4.508813717518933,-3.1666852891794406,1,Done,anthracene_theta=5_a=3.5_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.1,0.0,-21.267174844630066,-4.280096362810582,-3.1767455297522247,2,Done,anthracene_theta=0_a=3.5_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.5,9.5,0.0,-26.4442879660055,-1.218849068507552,-6.001647457247598,1,Done,anthracene_theta=0_a=5.5_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.6,5.0,-26.12899431143888,-0.4193724631331861,-6.322562346293125,1,Done,anthracene_theta=5_a=6.5_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
