a,b,theta,E
4.0,12.1,0.0,-26.82136876578443
3.9,12.2,5.0,-27.08255599765107
6.9,6.8,10.0,-30.258466939674694
6.7,6.6,15.0,-35.44621008052491
6.9,6.2,20.0,-40.36355163343251
7.0,6.1,22.5,-42.12866949243471
7.1,6.1,23.0,-42.33845110516995
7.1,6.0,23.5,-42.53758512926288
7.2,6.0,24.0,-42.695848170667894
7.2,6.0,24.5,-42.83293149573728
7.2,6.0,25.0,-42.8863401268609
7.3,5.9,25.5,-42.91583811677992
7.3,5.9,26.0,-42.93080799584277
7.3,5.9,26.5,-42.862798461690545
7.4,5.9,27.0,-42.785361217800535
7.5,5.8,27.5,-42.66172668756917
7.7,5.7,30.0,-41.764851744985215
8.3,5.5,35.0,-39.01636045519263
9.0,5.2,40.0,-36.25813271966764
9.6,4.9,45.0,-34.257151421858
