a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
5.9,7.3,64.0,0,1,-42.89570006565191,-5.666293562971988,-7.890778234926982,2,Done,anthracene_A1=0_A2=1_a=5.9_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.3,64.0,0,2,-42.78828290384264,-5.666296073002743,-7.863922689459287,2,Done,anthracene_A1=0_A2=2_a=5.9_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.3,64.0,0,3,-42.61262528481893,-5.6663073684321725,-7.820002636988647,2,Done,anthracene_A1=0_A2=3_a=5.9_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.3,64.0,0,4,-42.364999798825,-5.6663136433344325,-7.758093128039036,1,Done,anthracene_A1=0_A2=4_a=5.9_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.3,64.0,0,5,-42.04620212875306,-5.666331213666125,-7.6783849253552034,1,Done,anthracene_A1=0_A2=5_a=5.9_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.4,64.0,0,10,-40.095637494465336,-5.6664617357309925,-7.190678505750839,1,Done,anthracene_A1=0_A2=10_a=5.9_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.2,63.5,0,1,-42.06696015945636,-5.7588851735927165,-7.637297453067732,2,Done,anthracene_A1=0_A2=1_a=5.8_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.2,63.5,0,2,-41.908727237721905,-5.758877643616871,-7.59774298762204,2,Done,anthracene_A1=0_A2=2_a=5.8_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.2,63.5,0,3,-41.64053448406048,-5.758863838389517,-7.530701701820363,2,Done,anthracene_A1=0_A2=3_a=5.8_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.2,63.5,0,4,-41.26568761933595,-5.758845012984239,-7.436999398341866,1,Done,anthracene_A1=0_A2=4_a=5.8_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.2,63.5,0,5,-40.78854658664204,-5.758824932621793,-7.3177241803496145,1,Done,anthracene_A1=0_A2=5_a=5.8_b=7.2_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.3,63.5,0,10,-38.349171742564074,-5.758832462714054,-6.70787670428399,1,Done,anthracene_A1=0_A2=10_a=5.8_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.2,64.0,0,1,-42.19100131606681,-5.674870369723068,-7.7103151441551745,2,Done,anthracene_A1=0_A2=1_a=5.8_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.2,64.0,0,2,-42.04324781149626,-5.674861584790051,-7.673381160479039,2,Done,anthracene_A1=0_A2=2_a=5.8_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.2,64.0,0,3,-41.79186479537748,-5.674847779329866,-7.6105423091794355,2,Done,anthracene_A1=0_A2=3_a=5.8_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.2,64.0,0,4,-41.44088590191678,-5.674821424065157,-7.522810763446612,1,Done,anthracene_A1=0_A2=4_a=5.8_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.3,64.0,0,10,-38.64921188377775,-5.674759927904232,-6.8249230069923215,1,Done,anthracene_A1=0_A2=10_a=5.8_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.2,64.0,0,5,-40.99338342086412,-5.6747938136104485,-7.410948948410804,1,Done,anthracene_A1=0_A2=5_a=5.8_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.2,64.5,0,1,-42.20236426685005,-5.5564579776255405,-7.772362077899742,2,Done,anthracene_A1=0_A2=1_a=5.8_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.2,64.5,0,3,-41.83023577649146,-5.556440407410264,-7.679338740417732,2,Done,anthracene_A1=0_A2=3_a=5.8_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.2,64.5,0,2,-42.06504750833847,-5.5564529575640345,-7.738035398302599,2,Done,anthracene_A1=0_A2=2_a=5.8_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.2,64.5,0,4,-41.50301190232857,-5.556422837194988,-7.597541556984653,1,Done,anthracene_A1=0_A2=4_a=5.8_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.3,64.5,0,10,-38.8366917911917,-5.556355066015384,-6.930995414790233,1,Done,anthracene_A1=0_A2=10_a=5.8_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.2,64.5,0,5,-41.08490700926632,-5.556400246801786,-7.493026628915688,1,Done,anthracene_A1=0_A2=5_a=5.8_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.3,63.5,0,3,-42.20325031154789,-5.758863838389517,-7.671380658692215,2,Done,anthracene_A1=0_A2=3_a=5.8_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.3,63.5,0,1,-42.54887528880499,-5.7588851735927165,-7.757776235404887,2,Done,anthracene_A1=0_A2=1_a=5.8_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.3,63.5,0,2,-42.42268553795293,-5.758877643616871,-7.726232562679797,2,Done,anthracene_A1=0_A2=2_a=5.8_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.3,63.5,0,4,-41.9050726192072,-5.758845012984239,-7.5968456483096825,1,Done,anthracene_A1=0_A2=4_a=5.8_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.4,63.5,0,10,-39.37715109460985,-5.758832462714054,-6.964871542295443,1,Done,anthracene_A1=0_A2=10_a=5.8_b=7.4_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.3,63.5,0,5,-41.51922676060349,-5.758824932621793,-7.500394223839978,1,Done,anthracene_A1=0_A2=5_a=5.8_b=7.3_theta=63.5_cx=0_cy=0_cz=0.log
5.8,7.3,64.0,0,3,-42.24960070941597,-5.674847779329866,-7.72497628768906,2,Done,anthracene_A1=0_A2=3_a=5.8_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.3,64.0,0,1,-42.56981153227389,-5.674870369723068,-7.805017698206939,2,Done,anthracene_A1=0_A2=1_a=5.8_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.3,64.0,0,2,-42.45309467287735,-5.674861584790051,-7.77584287582431,2,Done,anthracene_A1=0_A2=2_a=5.8_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
