a,b,theta,A1,A2,E
7.3,5.9,26.0,0,0,-42.93080799584277
5.9,7.3,64.0,0,0,-42.93080799584277
5.9,8.6,64.5,0,33,-39.723313221009455
5.9,8.6,65.0,-1,33,-39.91372736496851
5.9,8.6,65.5,-2,33,-40.02173187653534
6.0,8.4,67.5,-3,33,-40.079761490924284
6.0,8.4,68.0,-4,33,-40.08953809645027
6.0,8.4,68.5,-5,33,-40.042996934847906
6.0,8.4,69.5,-6,33,-39.95033880858682
6.0,8.4,70.0,-7,33,-39.83117717015557
6.0,8.4,71.0,-8,33,-39.67609936790541
6.0,8.4,71.5,-9,33,-39.49515560502185
6.0,8.4,72.5,-10,33,-39.30012298678048
6.0,8.5,73.0,-11,33,-39.07705071219243
6.0,8.5,74.0,-12,33,-38.833220405969776
6.0,8.5,74.5,-13,33,-38.53239211253822
6.1,8.4,76.5,-14,33,-38.211373056285076
6.1,8.5,76.5,-15,33,-37.80194286163896
