a,b,theta,E,E_p,E_t,machine_type,status,file_name
5.6,9.4,0.0,-16.87172206281685,-0.6226072644349188,-3.906626883486752,2,Done,naphthalene_theta=0_a=5.6_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.5,0.0,-16.515468320809305,-0.2070092739304528,-4.025362443237101,1,Done,naphthalene_theta=0_a=6.5_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.2,0.0,-12.163079040590675,-2.1254981069359933,-1.978020706679672,1,Done,naphthalene_theta=0_a=3.5_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.5,5.0,-16.747152542462572,-0.2173330684308894,-4.078121601400198,1,Done,naphthalene_theta=5_a=6.5_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.5,9.3,0.0,-16.511114656226713,-0.6976361250272021,-3.778960601543076,1,Done,naphthalene_theta=0_a=5.5_b=9.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.4,0.0,-16.540602605673485,-0.23467430722666904,-4.017813497805037,2,Done,naphthalene_theta=0_a=6.4_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.1,0.0,-9.454435890889727,-0.7469684512470849,-1.9901247470988888,1,Done,naphthalene_theta=0_a=3.4_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.4,5.0,-16.772059669485312,-0.2459437592769973,-4.07004303773283,1,Done,naphthalene_theta=5_a=6.4_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.5,9.4,0.0,-16.681142255663868,-0.6976361250272021,-3.821467501402367,1,Done,naphthalene_theta=0_a=5.5_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.5,0.0,-16.559686439926733,-0.23467430722666904,-4.0225844563683495,2,Done,naphthalene_theta=0_a=6.4_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.5,5.0,-16.780290090478953,-0.2459437592769973,-4.0721006429812405,1,Done,naphthalene_theta=5_a=6.4_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.2,0.0,-9.296775258495472,-0.7469684512470849,-1.9507095890003256,1,Done,naphthalene_theta=0_a=3.4_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.5,9.5,0.0,-16.802593050990254,-0.6976361250272021,-3.8518302002339615,1,Done,naphthalene_theta=0_a=5.5_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.6,0.0,-16.566345576546155,-0.23467430722666904,-4.024249240523203,2,Done,naphthalene_theta=0_a=6.4_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.6,5.0,-16.776610371889547,-0.2459437592769973,-4.071180713333888,1,Done,naphthalene_theta=5_a=6.4_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.3,0.0,-9.109958001296038,-0.7469684512470849,-1.9040052747004663,1,Done,naphthalene_theta=0_a=3.4_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.6,9.3,0.0,-16.796689437469464,-0.6226072644349188,-3.887868727149908,1,Done,naphthalene_theta=0_a=5.6_b=9.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.4,5.0,-16.783728845533915,-0.2173330684308894,-4.087265677168034,1,Done,naphthalene_theta=5_a=6.5_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.4,0.0,-16.540945226326585,-0.2070092739304528,-4.03173166961642,2,Done,naphthalene_theta=0_a=6.5_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.1,0.0,-12.35867390758358,-2.1254981069359933,-2.0269194234278984,1,Done,naphthalene_theta=0_a=3.5_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.6,5.0,-16.700987886986695,-0.2173330684308894,-4.066580437531228,1,Done,naphthalene_theta=5_a=6.5_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.6,0.0,-16.479983884841207,-0.2070092739304528,-4.0164913342450745,2,Done,naphthalene_theta=0_a=6.5_b=7.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.6,9.5,0.0,-16.905364128993824,-0.6226072644349188,-3.9150374000309967,1,Done,naphthalene_theta=0_a=5.6_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.4,5.0,-16.661609124392267,-0.19180282403249294,-4.069500869081821,1,Done,naphthalene_theta=5_a=6.6_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.3,0.0,-11.943234677193685,-2.1254981069359933,-1.9230596158304247,1,Done,naphthalene_theta=0_a=3.5_b=13.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.4,0.0,-16.411757232854146,-0.1818178849061951,-4.012030365760438,2,Done,naphthalene_theta=0_a=6.6_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.7,9.3,0.0,-16.88266583706718,-0.5504122388665564,-3.9454603398335166,1,Done,naphthalene_theta=0_a=5.7_b=9.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.5,5.0,-16.5899625425227,-0.19180282403249294,-4.051589223614428,1,Done,naphthalene_theta=5_a=6.6_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.5,0.0,-16.351378220599145,-0.1818178849061951,-3.9969356126966886,2,Done,naphthalene_theta=0_a=6.6_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.7,9.4,0.0,-16.880996660678647,-0.5504122388665564,-3.9450430457363836,1,Done,naphthalene_theta=0_a=5.7_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13.1,0.0,-13.990809847600758,-2.8891137709142636,-2.0531455764430566,1,Done,naphthalene_theta=0_a=3.6_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
