a,b,theta,E
5.6,9.5,0.0,-16.905364128993824
6.6,6.6,5.0,-16.978822959237732
6.9,6.8,10.0,-19.53710090823006
6.7,6.6,15.0,-22.9936945628142
6.9,6.3,20.0,-26.36211176682264
7.0,6.1,22.5,-27.59737147670239
7.1,6.1,23.0,-27.747117953025732
7.1,6.0,23.5,-27.881349872215647
7.1,6.0,24.0,-28.003539874567647
7.2,6.0,24.5,-28.10254338185769
7.2,6.0,25.0,-28.1581746537704
7.2,6.0,25.5,-28.16343193233479
7.3,5.9,26.0,-28.19217063521501
7.3,5.9,26.5,-28.16835537564475
7.4,5.9,27.0,-28.116881985682998
7.4,5.9,27.5,-28.053670393303037
7.6,5.8,30.0,-27.46811069175601
8.2,5.6,35.0,-25.60111156455241
8.8,5.3,40.0,-23.64943498244975
6.9,7.3,45.0,-22.706076609087177
5.3,8.8,50.0,-23.64943498244975
5.6,8.2,55.0,-25.60111156455241
