a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name,cx,cy,cz
7.3,5.9,26.0,0.0,-5.0,-27.887668897863477,-3.71217094711028,-5.115831750910728,2,Done,naphthalene_A1=0_A2=-5_a=7.3_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,5.9,26.0,0.0,5.0,-27.887668897863477,-3.71217094711028,-5.115831750910728,2,Done,naphthalene_A1=0_A2=5_a=7.3_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,6.0,26.0,0.0,-10.0,-26.88398673338817,-3.6999106568400753,-4.8710413549270015,1,Done,naphthalene_A1=0_A2=-10_a=7.3_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.3,6.0,26.0,0.0,10.0,-26.88398673338817,-3.6999106568400753,-4.8710413549270015,1,Done,naphthalene_A1=0_A2=10_a=7.3_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.8,25.5,0.0,-5.0,-27.40283584676217,-3.6870423092041165,-5.007187807088485,2,Done,naphthalene_A1=0_A2=-5_a=7.2_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,5.8,25.5,0.0,5.0,-27.40283584676217,-3.6870423092041165,-5.007187807088485,1,Done,naphthalene_A1=0_A2=5_a=7.2_b=5.8_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,5.9,25.5,0.0,-10.0,-26.65149176784325,-3.863766067894176,-4.7309899080137265,1,Done,naphthalene_A1=0_A2=-10_a=7.2_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,5.9,25.5,0.0,10.0,-26.65149176784325,-3.863766067894176,-4.7309899080137265,2,Done,naphthalene_A1=0_A2=10_a=7.2_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,5.8,26.0,0.0,5.0,-27.34165864158421,-3.7464147954015066,-4.9622072626952995,1,Done,naphthalene_A1=0_A2=5_a=7.2_b=5.8_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.9,26.0,0.0,-10.0,-26.42515267629642,-3.861240340222139,-4.675667998963036,1,Done,naphthalene_A1=0_A2=-10_a=7.2_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.8,26.0,0.0,-5.0,-27.34165864158421,-3.7464147954015066,-4.9622072626952995,2,Done,naphthalene_A1=0_A2=-5_a=7.2_b=5.8_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.9,26.5,0.0,-10.0,-26.154196368413977,-3.8505864754552017,-4.613255854375893,1,Done,naphthalene_A1=0_A2=-10_a=7.2_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.8,26.5,0.0,5.0,-27.212847154005427,-3.7866802295320654,-4.909871673735324,1,Done,naphthalene_A1=0_A2=5_a=7.2_b=5.8_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.9,26.0,0.0,10.0,-26.42515267629642,-3.861240340222139,-4.675667998963036,2,Done,naphthalene_A1=0_A2=10_a=7.2_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.9,25.5,0.0,5.0,-27.76283205859363,-3.693940526631195,-5.093737751332808,1,Done,naphthalene_A1=0_A2=5_a=7.2_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,6.0,25.5,0.0,-10.0,-26.71153945522383,-3.7187058363342658,-4.818531945638824,1,Done,naphthalene_A1=0_A2=-10_a=7.2_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,5.8,26.5,0.0,-5.0,-27.34165864158421,-3.7464147954015066,-4.9622072626953,2,Done,naphthalene_A1=0_A2=-5_a=7.2_b=5.8_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.9,25.5,0.0,-5.0,-27.76283205859363,-3.693940526631195,-5.093737751332808,2,Done,naphthalene_A1=0_A2=-5_a=7.2_b=5.9_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,6.0,26.0,0.0,-10.0,-26.506029930198565,-3.6999106568400753,-4.776552154129604,1,Done,naphthalene_A1=0_A2=-10_a=7.2_b=6.0_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.9,26.0,0.0,5.0,-27.67544250574429,-3.71217094711028,-5.062775152880931,1,Done,naphthalene_A1=0_A2=5_a=7.2_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,5.9,26.5,0.0,10.0,-26.42515267629642,-3.861240340222139,-4.675667998963036,2,Done,naphthalene_A1=0_A2=10_a=7.2_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
7.2,6.0,25.5,0.0,10.0,-26.71153945522383,-3.7187058363342658,-4.818531945638824,2,Done,naphthalene_A1=0_A2=10_a=7.2_b=6.0_theta=25_cx=0_cy=0_cz=0.log,,,
7.2,5.9,26.5,0.0,5.0,-27.535692263976674,-3.7173924578819424,-5.0252268370531965,1,Done,naphthalene_A1=0_A2=5_a=7.2_b=5.9_theta=26_cx=0_cy=0_cz=0.log,,,
