a,b,theta,A1,A2,E
7.3,5.9,26.0,0.0,0.0,-28.19217063521501
8.2,5.8,28.0,-10.0,0.0,-23.7316601278726
7.6,5.9,27.0,-5.0,0.0,-26.57652942347341
5.9,7.3,64.0,0.0,0.0,-28.19217063521501
5.9,7.3,64.5,-5.0,0.0,-27.6579123865813
6.0,7.3,66.5,-10.0,0.0,-26.66301410656888
8.0,5.8,28.0,-10.0,5.0,-24.480668614152822
7.5,5.9,26.5,-5.0,5.0,-27.013035419862717
7.3,5.9,25.5,0.0,5.0,-27.91383857477922
5.9,7.4,66.5,-10.0,5.0,-26.519232740742154
5.9,7.4,64.0,0.0,5.0,-27.61338302190416
5.9,7.4,65.0,-5.0,5.0,-27.260546699282713
8.1,5.7,28.5,-10.0,10.0,-24.84747707436327
5.9,7.6,64.0,0.0,10.0,-26.396794244414195
5.9,7.5,67.5,-10.0,10.0,-26.100397425703697
5.9,7.6,65.0,-5.0,10.0,-26.38100734795444
7.4,5.9,24.5,0.0,10.0,-27.32471587182954
7.6,5.8,26.5,-5.0,10.0,-26.98124199814629
5.9,7.8,65.5,-5.0,15.0,-25.60039871290792
7.6,5.9,25.0,0.0,15.0,-26.258538731141012
8.1,5.7,29.0,-10.0,15.0,-24.752667843713425
5.9,7.8,64.0,0.0,15.0,-25.274316906696182
5.8,7.8,67.0,-10.0,15.0,-25.794026963645592
7.7,5.8,27.0,-5.0,15.0,-26.367125571705397
7.8,6.0,27.5,0.0,20.0,-24.63665253971704
5.9,8.1,64.0,0.0,20.0,-24.602164590265602
5.8,7.9,68.0,-10.0,20.0,-25.81545266509056
8.1,5.8,30.5,-10.0,20.0,-24.130004730541266
5.8,8.1,65.0,-5.0,20.0,-25.228852551896125
7.8,5.9,28.5,-5.0,20.0,-25.13327399396803
7.8,6.1,29.5,-5.0,25.0,-23.914742445456795
5.9,8.3,64.0,0.0,25.0,-24.496090299682695
7.6,6.4,25.0,0.0,25.0,-23.083562779473144
5.9,8.1,66.5,-5.0,25.0,-25.33270796725992
5.7,8.4,65.0,-10.0,25.0,-25.69091452041175
7.4,6.7,23.5,0.0,30.0,-22.45420413510874
5.9,8.5,64.0,0.0,30.0,-24.72924540529493
5.9,8.3,67.0,-5.0,30.0,-25.60534098150675
5.7,8.6,65.0,-10.0,30.0,-25.54972728039137
7.4,6.6,26.0,-5.0,30.0,-23.24502988753375
7.1,6.9,23.0,-5.0,35.0,-23.27500729542225
5.8,8.8,65.0,-5.0,35.0,-24.602871166542172
5.7,9.0,65.0,-10.0,35.0,-23.93992065661587
7.1,7.0,20.5,0.0,35.0,-22.53275081689935
6.0,8.6,65.5,0.0,35.0,-24.61186338448897
6.1,8.9,67.0,0.0,40.0,-22.63181582081597
5.8,9.5,65.0,-5.0,40.0,-21.70560478535481
6.0,9.0,73.0,-10.0,40.0,-22.578838916495442
6.9,7.5,23.5,-5.0,40.0,-19.133537932066243
6.9,7.3,17.5,0.0,40.0,-18.560168239986524
5.9,8.5,65.0,-1.0,32.0,-24.95685332233552
5.9,8.5,65.5,-2.0,32.0,-25.11077274021227
5.9,8.4,66.5,-3.0,32.0,-25.25240425742232
5.9,8.4,66.5,-4.0,32.0,-25.41607392556034
5.9,8.4,67.0,-5.0,32.0,-25.56857140560169
5.9,8.4,68.0,-6.0,32.0,-25.712155733956017
5.9,8.3,68.5,-7.0,32.0,-25.85972098552156
5.9,8.3,69.5,-8.0,32.0,-26.01395541336388
5.9,8.3,70.0,-9.0,32.0,-26.158132110838785
5.9,8.3,70.5,-10.0,32.0,-26.288314080564298
5.9,8.3,71.0,-11.0,32.0,-26.401570850401182
5.9,8.2,72.0,-12.0,32.0,-26.511644889716987
5.9,8.2,72.5,-13.0,32.0,-26.59198248467873
5.9,8.2,73.0,-14.0,32.0,-26.63508112658747
5.9,8.2,73.5,-15.0,32.0,-26.634655674919486
5.9,8.2,74.0,-16.0,32.0,-26.584144884720445
5.9,8.2,74.5,-17.0,32.0,-26.476668737246648
5.9,8.3,74.0,-18.0,32.0,-26.339825121569447
5.9,8.3,74.5,-19.0,32.0,-26.15827141830232
5.9,7.3,64.0,0.0,1.0,-28.16581145056989
5.9,7.3,64.0,0.0,2.0,-28.089299155981283
5.9,7.3,64.0,0.0,3.0,-27.96155067055952
5.9,7.4,64.0,0.0,4.0,-27.79279817093629
7.3,5.9,25.5,0.0,5.0,-27.91383857477922
5.9,7.4,64.0,0.0,5.0,-27.61338302190416
7.4,5.9,24.5,0.0,10.0,-27.32471587182954
5.9,7.6,64.0,0.0,10.0,-26.396794244414195
7.5,5.9,25.0,0.0,15.0,-26.24288235674612
5.9,7.8,64.0,0.0,15.0,-25.274316906696182
7.4,6.2,25.5,0.0,20.0,-24.160250712651766
5.9,8.1,64.0,0.0,20.0,-24.602164590265602
7.3,6.6,25.5,0.0,25.0,-22.432770903687924
5.9,8.3,64.0,0.0,25.0,-24.496090299682695
5.9,8.3,64.0,0.0,26.0,-24.531858369708058
5.9,8.3,64.5,0.0,27.0,-24.570307162357487
5.9,8.4,64.0,0.0,28.0,-24.628886476159096
5.9,8.4,64.5,0.0,29.0,-24.68559706467204
