a,b,theta,A1,A2,cx,cy,cz,E,E_p,E_t,machine_type,status,file_name,E_i0,E_ip1,E_ip2,E_it1,E_it2,E_it3,E_it4
5.9,8.5,64.0,0.0,30.0,0.0,-3.2,7.3,-33.4511323972838,-3.6390120662981653,-4.362805318174651,2,Done,naphthalene_A1=0_A2=30_a=5.9_b=8.5_theta=64.0_cx=0.0_cy=-3.2_cz=7.3.log,-0.3789363462128677,-0.15644953824812546,-0.048518445692025125,-1.8762122293410357,-0.012307353579672052,-0.012307353579672052,-1.8762122293410357
5.9,8.3,67.0,-5.0,30.0,0.0,-3.0,7.2,-35.08590764377732,-3.6743779023527168,-4.564146294200327,2,Done,naphthalene_A1=-5_A2=30_a=5.9_b=8.3_theta=67.0_cx=0.0_cy=-3.0_cz=7.2.log,-0.4805597082013264,-0.16085528588155285,-0.06599083414766937,-1.997076930420008,-0.01936182103236206,-0.01936182103236206,-1.997076930420008
5.7,8.6,65.0,-10.0,30.0,0.0,-3.2,7.2,-35.13583359436598,-3.957302708586212,-4.408780465804738,2,Done,naphthalene_A1=-10_A2=30_a=5.7_b=8.6_theta=65.0_cx=0.0_cy=-3.2_cz=7.2.log,-0.5256243388284929,-0.14203563350019974,-0.06133094493998215,-2.013113575958414,-0.018917543900897726,-0.018917543900897726,-2.013113575958414
5.8,8.4,63.5,0.0,30.0,0.0,-3.1,7.2734010270930805,-33.482967234682306,-3.6977783778565936,-4.262293903913816,1,Done,naphthalene_A1=0_A2=30_a=5.8_b=8.4_theta=63.5_cx=0.0_cy=-3.1_cz=7.27.log,-0.41259410011116415,-0.17037524009356275,-0.05267946445383132,-1.9272080844966688,-0.014526229002512991,-0.014526229002512991,-1.9272080844966688
5.8,8.4,63.5,0.0,30.0,0.0,-3.1,7.27340102709308,-33.482967234682306,-3.6977783778565936,-4.262293903913816,1,Done,naphthalene_A1=0_A2=30_a=5.8_b=8.4_theta=63.5_cx=0.0_cy=-3.1_cz=7.27.log,-0.41259410011116415,-0.17037524009356275,-0.05267946445383132,-1.9272080844966688,-0.014526229002512991,-0.014526229002512991,-1.9272080844966688
5.8,8.2,66.5,-5.0,30.0,0.0,-3.0,7.287876608525188,-34.503656175453216,-3.7226516191149135,-4.445947255648207,1,Done,naphthalene_A1=-5_A2=30_a=5.8_b=8.2_theta=66.5_cx=0.0_cy=-3.0_cz=7.29.log,-0.4650213056011125,-0.16184047661954534,-0.064871983777266,-1.9531493479444184,-0.0196247477142606,-0.0196247477142606,-1.9531493479444184
5.6,8.5,64.5,-10.0,30.0,0.0,-3.1,7.2338254723215965,-34.71811148279812,-4.047543666674756,-4.242854271637043,2,Done,naphthalene_A1=-10_A2=30_a=5.6_b=8.5_theta=64.5_cx=0.0_cy=-3.1_cz=7.23.log,-0.5531858330359682,-0.14986131072510034,-0.06684675777796656,-2.0066219849686604,-0.02133282998693176,-0.02133282998693176,-2.0066219849686604
5.8,8.2,67.0,-5.0,30.0,0.0,-3.0,7.287876608525188,-34.51465140597429,-3.659099288925063,-4.484671525278827,1,Done,naphthalene_A1=-5_A2=30_a=5.8_b=8.2_theta=67.0_cx=0.0_cy=-3.0_cz=7.29.log,-0.45846382610034203,-0.16383407590910792,-0.0660372698912397,-1.951071034767665,-0.019203061034204442,-0.019203061034204442,-1.951071034767665
5.8,8.4,64.0,0.0,30.0,0.0,-3.1,7.272655386216937,-33.50982340751216,-3.641603055119049,-4.300285869336221,1,Done,naphthalene_A1=0_A2=30_a=5.8_b=8.4_theta=64.0_cx=0.0_cy=-3.1_cz=7.27.log,-0.4070048685534857,-0.17218121385667473,-0.053957702359184616,-1.9256374269607481,-0.014159135636873543,-0.014159135636873543,-1.9256374269607481
5.6,8.5,65.0,-10.0,30.0,0.0,-3.5,7.225697345871572,-34.367841675993986,-4.055698786571156,-4.292385518463561,2,Done,naphthalene_A1=-10_A2=30_a=5.6_b=8.5_theta=65.0_cx=0.0_cy=-3.5_cz=7.23.log,-0.4386276074219495,-0.14115460944594815,-0.051064881263300776,-1.9416031638975253,-0.01469879428623244,-0.01469879428623244,-1.9416031638975253
5.8,8.2,67.5,-5.0,30.0,0.0,-3.0,7.287876608525188,-34.4607395111816,-3.57280348619679,-4.518542632518802,2,Done,naphthalene_A1=-5_A2=30_a=5.8_b=8.2_theta=67.5_cx=0.0_cy=-3.0_cz=7.29.log,-0.4519854128593579,-0.16575300140539184,-0.06723706895718351,-1.948966366238892,-0.018786394328344613,-0.018786394328344613,-1.948966366238892
