a,b,theta,A1,A2,cx,cy,cz,E,E_p,E_t,machine_type,status,file_name,E_i0,E_ip1,E_ip2,E_it1,E_it2,E_it3,E_it4
5.9,8.3,73.5,-19.0,32.0,0.0,-1.9,7.3,-35.215635296422995,-3.8692912935512136,-4.596357637521578,2,Done,naphthalene_A1=-19_A2=32_a=5.9_b=8.3_theta=73.5_cx=0.0_cy=-1.9_cz=7.3.log,-0.9113691685488448,-0.13502383674494922,-0.1334870647988282,-1.6320336555945687,-0.05093184916768223,-0.05093184916768223,-1.6320336555945687
6.0,8.2,74.0,-18.0,32.0,0.0,-1.9,7.2,-35.450310230487965,-3.760562008304987,-4.677982883324149,1,Done,naphthalene_A1=-18_A2=32_a=6.0_b=8.2_theta=74.0_cx=0.0_cy=-1.9_cz=7.2.log,-0.9362888456089422,-0.14035704417619854,-0.13342243118677288,-1.6464350100723095,-0.052844499587081366,-0.052844499587081366,-1.6464350100723095
6.0,8.1,74.5,-17.0,32.0,0.0,-2.0,7.2,-35.698053689557135,-3.7759253356489353,-4.701221461204113,2,Done,naphthalene_A1=-17_A2=32_a=6.0_b=8.1_theta=74.5_cx=0.0_cy=-2.0_cz=7.2.log,-0.8513585047912784,-0.14784198347479105,-0.12721259228419513,-1.7232522742706349,-0.04887047881493345,-0.04887047881493345,-1.7232522742706349
5.9,8.1,74.5,-16.0,32.0,0.0,-2.8,7.2,-35.47652885399292,-3.8605036434018976,-4.693176155502441,2,Done,naphthalene_A1=-16_A2=32_a=5.9_b=8.1_theta=74.5_cx=0.0_cy=-2.8_cz=7.2.log,-0.5320136456866749,-0.15091490000486374,-0.0842231372371316,-1.8368629596952808,-0.02526543513522484,-0.02526543513522484,-1.8368629596952808
5.9,8.2,74.0,-15.0,32.0,0.0,-3.0,7.1,-35.77543069212697,-3.8706686779623847,-4.720005345530809,2,Done,naphthalene_A1=-15_A2=32_a=5.9_b=8.2_theta=74.0_cx=0.0_cy=-3.0_cz=7.1.log,-0.4962738136528061,-0.15584399102954194,-0.07587223406881094,-1.9038214142492509,-0.020701554894912988,-0.020701554894912988,-1.9038214142492509
5.9,8.1,73.5,-14.0,32.0,0.0,-2.9,7.1,-35.93131045147311,-3.8637422226020135,-4.706761119421572,2,Done,naphthalene_A1=-14_A2=32_a=5.9_b=8.1_theta=73.5_cx=0.0_cy=-2.9_cz=7.1.log,-0.5207303883507848,-0.16021585324779153,-0.07956575794378297,-1.9406725665903648,-0.02326681578415446,-0.02326681578415446,-1.9406725665903648
5.9,8.1,73.0,-13.0,32.0,0.0,-3.0,7.0,-36.116019275272265,-3.8421753314323723,-4.704590562381782,1,Done,naphthalene_A1=-13_A2=32_a=5.9_b=8.1_theta=73.0_cx=0.0_cy=-3.0_cz=7.0.log,-0.513400444004219,-0.16752697224728766,-0.07610127533553168,-2.003106674004812,-0.021705570921767503,-0.021705570921767503,-2.003106674004812
5.9,8.2,72.5,-12.0,32.0,0.0,-3.0,7.0,-36.230987892020494,-3.8084096458624117,-4.720196736045182,2,Done,naphthalene_A1=-12_A2=32_a=5.9_b=8.2_theta=72.5_cx=0.0_cy=-3.0_cz=7.0.log,-0.5077735619270243,-0.1695701447315514,-0.07495606952579692,-2.03684223908931,-0.02035328684723936,-0.02035328684723936,-2.03684223908931
5.9,8.2,71.5,-11.0,32.0,0.0,-2.9,7.0,-36.31555239483714,-3.804096769541502,-4.698004217381823,2,Done,naphthalene_A1=-11_A2=32_a=5.9_b=8.2_theta=71.5_cx=0.0_cy=-2.9_cz=7.0.log,-0.5404354574275203,-0.17269577202387154,-0.07736884546466173,-2.0611287586798426,-0.02245670041884296,-0.02245670041884296,-2.0611287586798426
5.9,8.2,71.0,-10.0,32.0,0.0,-2.9,7.0,-36.24738096317742,-3.7615559841506174,-4.685005975217791,2,Done,naphthalene_A1=-10_A2=32_a=5.9_b=8.2_theta=71.0_cx=0.0_cy=-2.9_cz=7.0.log,-0.5339413563488051,-0.17505081713898107,-0.07612637564307079,-2.0814588276261934,-0.02204317130963318,-0.02204317130963318,-2.0814588276261934
5.9,8.2,70.0,-9.0,32.0,0.0,-2.8,7.0,-36.18126901995856,-3.7541896442417055,-4.6476634826976815,2,Done,naphthalene_A1=-9_A2=32_a=5.9_b=8.2_theta=70.0_cx=0.0_cy=-2.8_cz=7.0.log,-0.5667287539108656,-0.17870104283792898,-0.07839545182650909,-2.084414399694652,-0.02423192618880421,-0.02423192618880421,-2.084414399694652
5.9,8.3,69.0,-8.0,32.0,0.0,-2.9,7.0,-36.06299217022024,-3.744402998301666,-4.6301214406848885,2,Done,naphthalene_A1=-8_A2=32_a=5.9_b=8.3_theta=69.0_cx=0.0_cy=-2.9_cz=7.0.log,-0.536223610281013,-0.1756475791335106,-0.07095694827148691,-2.100759152730461,-0.021251881145872176,-0.021251881145872176,-2.100759152730461
5.9,8.3,68.5,-7.0,32.0,0.0,-2.9,7.1,-35.611558965872966,-3.710722026531585,-4.6095692331145965,2,Done,naphthalene_A1=-7_A2=32_a=5.9_b=8.3_theta=68.5_cx=0.0_cy=-2.9_cz=7.1.log,-0.5006939940503798,-0.16947915585478768,-0.06730986014008522,-2.0492663096229085,-0.01995168044231832,-0.01995168044231832,-2.0492663096229085
5.9,8.4,67.5,-6.0,32.0,0.0,-2.9,7.1,-35.45435139560141,-3.7052237839670847,-4.5751026188372625,1,Done,naphthalene_A1=-6_A2=32_a=5.9_b=8.4_theta=67.5_cx=0.0_cy=-2.9_cz=7.1.log,-0.5008803645614535,-0.16991778532974422,-0.06474271672777833,-2.0490134230349213,-0.01908948173513636,-0.01908948173513636,-2.0490134230349213
5.9,8.4,67.0,-5.0,32.0,0.0,-2.9,7.1,-35.280846135574386,-3.679953956219833,-4.5521658732905035,1,Done,naphthalene_A1=-5_A2=32_a=5.9_b=8.4_theta=67.0_cx=0.0_cy=-2.9_cz=7.1.log,-0.4933973078150302,-0.17252508935052902,-0.06344941863790153,-2.0447281572851352,-0.018654617306310683,-0.018654617306310683,-2.0447281572851352
5.9,8.4,66.5,-4.0,32.0,0.0,-2.9,7.1,-35.08823445125019,-3.657389951637015,-4.52532350557158,1,Done,naphthalene_A1=-4_A2=32_a=5.9_b=8.4_theta=66.5_cx=0.0_cy=-2.9_cz=7.1.log,-0.4857498434721492,-0.17516314145177606,-0.062169298238586634,-2.0382804919790942,-0.01821849786210805,-0.01821849786210805,-2.0382804919790942
