R1,R2,Eheri,Epara,Etotal
3.5,2.5,-7.959,19.1143,6.3926
3.6,2.5,-10.4724,16.2071,-9.4754
3.7,2.5,-11.7836,13.5991,-19.9362
3.8,2.5,-12.2671,11.2632,-26.542
3.9,2.5,-12.2032,9.1781,-30.4566
4,2.5,-11.8031,7.3181,-32.5762
4.1,2.5,-11.2011,5.6689,-33.4666
4.2,2.5,-10.4837,4.209,-33.5168
4.3,2.5,-9.7255,2.926,-33.05
4.4,2.5,-8.9636,1.8029,-32.2486
4.5,2.5,-8.213,0.8259,-31.2002
3.5,2.6,-8.0311,6.1894,-19.7456
3.6,2.6,-10.4429,4.6693,-32.433
3.7,2.6,-11.6933,3.3286,-40.116
3.8,2.6,-12.1474,2.1541,-44.2814
3.9,2.6,-12.0721,1.1319,-46.0246
4,2.6,-11.6714,0.2477,-46.1902
4.1,2.6,-11.0738,-0.513,-45.3212
4.2,2.6,-10.367,-1.1595,-43.787
4.3,2.6,-9.6208,-1.7063,-41.8958
4.4,2.6,-8.8696,-2.1653,-39.809
4.5,2.6,-8.1296,-2.5454,-37.6092
3.5,2.7,-8.0819,-0.2753,-32.8782
3.6,2.7,-10.4053,-0.9594,-43.54
3.7,2.7,-11.6012,-1.5376,-49.48
3.8,2.7,-12.0251,-2.0242,-52.1488
3.9,2.7,-11.9385,-2.4281,-52.6102
4,2.7,-11.5353,-2.7623,-51.6658
4.1,2.7,-10.9421,-3.0351,-49.8386
4.2,2.7,-10.2448,-3.254,-47.4872
4.3,2.7,-9.5104,-3.4289,-44.8994
4.4,2.7,-8.7699,-3.5638,-42.2072
4.5,2.7,-8.0412,-3.666,-39.4968
3.5,2.8,-8.1196,-2.9517,-38.3818
3.6,2.8,-10.3633,-3.1869,-47.827
3.7,2.8,-11.5084,-3.3763,-52.7862
3.8,2.8,-11.904,-3.5236,-54.6632
3.9,2.8,-11.8043,-3.6359,-54.489
4,2.8,-11.3967,-3.718,-53.0228
4.1,2.8,-10.8066,-3.7757,-50.7778
4.2,2.8,-10.1187,-3.8096,-48.094
4.3,2.8,-9.3951,-3.824,-45.2284
4.4,2.8,-8.6645,-3.8209,-42.2998
4.5,2.8,-7.9496,-3.8033,-39.405
3.5,2.9,-8.1503,-3.7594,-40.12
3.6,2.9,-10.32,-3.8002,-48.8804
3.7,2.9,-11.4174,-3.8215,-53.3126
3.8,2.9,-11.7843,-3.8246,-54.7864
3.9,2.9,-11.6695,-3.8102,-54.2984
4,2.9,-11.2569,-3.782,-52.5916
4.1,2.9,-10.6687,-3.7387,-50.1522
4.2,2.9,-9.9895,-3.6842,-47.3264
4.3,2.9,-9.2747,-3.6177,-44.3342
4.4,2.9,-8.5554,-3.5418,-41.3052
4.5,2.9,-7.853,-3.4578,-38.3276
3.5,3,-8.1841,-3.7544,-40.2452
3.6,3,-10.2805,-3.7042,-48.5304
3.7,3,-11.3296,-3.6415,-52.6014
3.8,3,-11.667,-3.5675,-53.803
3.9,3,-11.5353,-3.486,-53.1132
4,3,-11.1152,-3.3969,-51.2546
4.1,3,-10.5288,-3.3023,-48.7198
4.2,3,-9.8566,-3.2032,-45.8328
4.3,3,-9.1499,-3.1016,-42.8028
4.4,3,-8.4419,-2.9981,-39.7638
4.5,3,-7.7521,-2.8953,-36.799
3.5,3.1,-8.2318,-3.3336,-39.5944
3.6,3.1,-10.2492,-3.2364,-47.4696
3.7,3.1,-11.2475,-3.1354,-51.2608
3.8,3.1,-11.5522,-3.0326,-52.274
3.9,3.1,-11.4011,-2.9298,-51.464
4,3.1,-10.9722,-2.8257,-49.5402
4.1,3.1,-10.3871,-2.7247,-46.9978
4.2,3.1,-9.7205,-2.6237,-44.1294
4.3,3.1,-9.0219,-2.5272,-41.142
4.4,3.1,-8.3234,-2.4331,-38.1598
4.5,3.1,-7.6467,-2.3403,-35.2674
3.5,3.2,-8.3027,-2.7579,-38.7266
3.6,3.2,-10.2322,-2.6576,-46.244
3.7,3.2,-11.1741,-2.5585,-49.8134
3.8,3.2,-11.4394,-2.4632,-50.684
3.9,3.2,-11.2663,-2.3704,-49.806
4,3.2,-10.8286,-2.2801,-47.8746
4.1,3.2,-10.2423,-2.1936,-45.3564
4.2,3.2,-9.5794,-2.1102,-42.538
4.3,3.2,-8.8884,-2.0286,-39.6108
4.4,3.2,-8.2005,-1.9502,-36.7024
4.5,3.2,-7.5345,-1.8756,-33.8892
3.5,3.3,-8.403,-2.2218,-38.0556
3.6,3.3,-10.2316,-2.1371,-45.2006
3.7,3.3,-11.107,-2.055,-48.538
3.8,3.3,-11.3309,-1.9753,-49.2742
3.9,3.3,-11.134,-1.9007,-48.3374
4,3.3,-10.6837,-1.8267,-46.3882
4.1,3.3,-10.0943,-1.7565,-43.8902
4.2,3.3,-9.4352,-1.6894,-41.1196
4.3,3.3,-8.7517,-1.6235,-38.2538
4.4,3.3,-8.0725,-1.5596,-35.4092
4.5,3.3,-7.4172,-1.4981,-32.665
3.5,3.4,-8.5353,-1.7797,-37.7006
3.6,3.4,-10.2492,-1.7113,-44.4194
3.7,3.4,-11.0487,-1.6449,-47.4846
3.8,3.4,-11.2243,-1.5809,-48.059
3.9,3.4,-10.9992,-1.5188,-47.0344
4,3.4,-10.5364,-1.4586,-45.0628
4.1,3.4,-9.9431,-1.4028,-42.578
4.2,3.4,-9.2859,-1.3476,-39.8388
4.3,3.4,-8.6093,-1.2949,-37.027
4.4,3.4,-7.9396,-1.2454,-34.2492
4.5,3.4,-7.2937,-1.1971,-31.569
3.5,3.5,-8.6996,-1.4197,-37.6378
3.6,3.5,-10.283,-1.3652,-43.8624
3.7,3.5,-10.9973,-1.3119,-46.613
3.8,3.5,-11.1183,-1.2617,-46.9966
3.9,3.5,-10.8631,-1.2122,-45.8768
4,3.5,-10.3846,-1.1651,-43.8686
4.1,3.5,-9.7851,-1.1187,-41.3778
4.2,3.5,-9.1311,-1.0755,-38.6754
4.3,3.5,-8.4607,-1.0341,-35.911
4.4,3.5,-7.8004,-0.9946,-33.1908
4.5,3.5,-7.1658,-0.9557,-30.5746
