a,b,theta,E,E_p,E_t
6.025413382750805,6.139576008729552,10.0,6.3926,19.1143,-7.959
6.2223749333532465,6.1743056442629385,10.0,-9.4754,16.2071,-10.4724
6.419336483955688,6.209035279796324,10.0,-19.9362,13.5991,-11.7836
6.616298034558129,6.24376491532971,10.0,-26.542,11.2632,-12.2671
6.813259585160571,6.278494550863096,10.0,-30.4566,9.1781,-12.2032
7.010221135763013,6.313224186396482,10.0,-32.5762,7.3181,-11.8031
7.207182686365454,6.347953821929869,10.0,-33.4666,5.6689,-11.2011
7.404144236967896,6.382683457463255,10.0,-33.5168,4.209,-10.4837
7.601105787570337,6.41741309299664,10.0,-33.05,2.926,-9.7255
7.798067338172779,6.452142728530027,10.0,-32.2486,1.8029,-8.9636
7.995028888775221,6.486872364063412,10.0,-31.2002,0.8259,-8.213
5.990683747217418,6.336537559331994,10.0,-19.7456,6.1894,-8.0311
6.18764529781986,6.37126719486538,10.0,-32.433,4.6693,-10.4429
6.384606848422302,6.405996830398766,10.0,-40.116,3.3286,-11.6933
6.581568399024743,6.440726465932152,10.0,-44.2814,2.1541,-12.1474
6.778529949627185,6.475456101465538,10.0,-46.0246,1.1319,-12.0721
6.9754915002296265,6.510185736998924,10.0,-46.1902,0.2477,-11.6714
7.172453050832067,6.54491537253231,10.0,-45.3212,-0.513,-11.0738
7.369414601434509,6.579645008065697,10.0,-43.787,-1.1595,-10.367
7.566376152036951,6.614374643599082,10.0,-41.8958,-1.7063,-9.6208
7.763337702639393,6.649104279132469,10.0,-39.809,-2.1653,-8.8696
7.960299253241835,6.683833914665854,10.0,-37.6092,-2.5454,-8.1296
5.955954111684032,6.533499109934436,10.0,-32.8782,-0.2753,-8.0819
6.152915662286474,6.568228745467822,10.0,-43.54,-0.9594,-10.4053
6.349877212888916,6.602958381001208,10.0,-49.48,-1.5376,-11.6012
6.5468387634913565,6.637688016534594,10.0,-52.1488,-2.0242,-12.0251
6.743800314093798,6.672417652067979,10.0,-52.6102,-2.4281,-11.9385
6.94076186469624,6.707147287601366,10.0,-51.6658,-2.7623,-11.5353
7.137723415298681,6.741876923134752,10.0,-49.8386,-3.0351,-10.9421
7.334684965901123,6.7766065586681385,10.0,-47.4872,-3.254,-10.2448
7.531646516503565,6.811336194201524,10.0,-44.8994,-3.4289,-9.5104
7.7286080671060065,6.84606582973491,10.0,-42.2072,-3.5638,-8.7699
7.925569617708448,6.880795465268296,10.0,-39.4968,-3.666,-8.0412
5.9212244761506465,6.730460660536877,10.0,-38.3818,-2.9517,-8.1196
6.118186026753088,6.765190296070263,10.0,-47.827,-3.1869,-10.3633
6.31514757735553,6.7999199316036485,10.0,-52.7862,-3.3763,-11.5084
6.512109127957971,6.834649567137035,10.0,-54.6632,-3.5236,-11.904
6.709070678560413,6.869379202670421,10.0,-54.489,-3.6359,-11.8043
6.906032229162855,6.904108838203807,10.0,-53.0228,-3.718,-11.3967
7.102993779765296,6.938838473737193,10.0,-50.7778,-3.7757,-10.8066
7.299955330367737,6.9735681092705795,10.0,-48.094,-3.8096,-10.1187
7.496916880970179,7.008297744803965,10.0,-45.2284,-3.824,-9.3951
7.693878431572621,7.043027380337351,10.0,-42.2998,-3.8209,-8.6645
7.890839982175063,7.077757015870738,10.0,-39.405,-3.8033,-7.9496
5.88649484061726,6.927422211139318,10.0,-40.12,-3.7594,-8.1503
6.083456391219702,6.962151846672705,10.0,-48.8804,-3.8002,-10.32
6.280417941822144,6.99688148220609,10.0,-53.3126,-3.8215,-11.4174
6.477379492424585,7.031611117739477,10.0,-54.7864,-3.8246,-11.7843
6.6743410430270265,7.066340753272863,10.0,-54.2984,-3.8102,-11.6695
6.871302593629468,7.1010703888062485,10.0,-52.5916,-3.782,-11.2569
7.068264144231909,7.135800024339635,10.0,-50.1522,-3.7387,-10.6687
7.265225694834351,7.170529659873021,10.0,-47.3264,-3.6842,-9.9895
7.462187245436793,7.205259295406407,10.0,-44.3342,-3.6177,-9.2747
7.659148796039235,7.239988930939793,10.0,-41.3052,-3.5418,-8.5554
7.856110346641676,7.2747185664731795,10.0,-38.3276,-3.4578,-7.853
5.851765205083874,7.12438376174176,10.0,-40.2452,-3.7544,-8.1841
6.048726755686316,7.159113397275147,10.0,-48.5304,-3.7042,-10.2805
6.245688306288757,7.193843032808532,10.0,-52.6014,-3.6415,-11.3296
6.442649856891198,7.2285726683419185,10.0,-53.803,-3.5675,-11.667
