a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.5,7.5,0.0,-35.92954840394668,-0.6078149712411687,-8.678479615366086,2,Done,tetracene_theta=0.0_a=6.5_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.2,0.0,-29.60927772312425,-6.310836694552562,-4.246901083504781,2,Done,tetracene_theta=0.0_a=3.5_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.5,5.0,-36.303825487848364,-0.6284462449839339,-8.761733249470126,1,Done,tetracene_theta=5.0_a=6.5_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13.2,5.0,-30.13629325130023,-6.608226233627647,-4.229960196011234,1,Done,tetracene_theta=5.0_a=3.5_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.3,10.0,-37.408850517356775,-0.6265612049028277,-9.038932026887776,1,Done,tetracene_theta=10.0_a=6.6_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.4,9.5,0.0,-35.88057250250131,-1.9038389844354242,-8.018223633407615,2,Done,tetracene_theta=0.0_a=5.4_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.4,0.0,-36.262839044444256,-0.6748066835571079,-8.728306419332513,1,Done,tetracene_theta=0.0_a=6.4_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.1,0.0,-25.12178805121221,-4.043841357692145,-4.258526333956978,1,Done,tetracene_theta=0.0_a=3.4_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.4,5.0,-36.62551723397336,-0.6972075356170535,-8.807775540684814,2,Done,tetracene_theta=5.0_a=6.4_b=7.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.4,13.1,5.0,-25.738557589706033,-4.3647738171275705,-4.252252488862723,1,Done,tetracene_theta=5.0_a=3.4_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.2,10.0,-37.85641324031167,-0.6914143633330241,-9.118396128411403,2,Done,tetracene_theta=10.0_a=6.5_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.4,9.6,0.0,-36.18625521427021,-1.9038389844354242,-8.094644311349839,2,Done,tetracene_theta=0.0_a=5.4_b=9.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.5,5.0,-36.55869996920228,-0.6972075356170535,-8.791071224492043,2,Done,tetracene_theta=5.0_a=6.4_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
