a,b,theta,E
4.0,12.1,0.0,-36.875592519296326
3.9,12.2,5.0,-37.24745243554935
6.9,6.8,10.0,-41.32479655137285
6.7,6.6,15.0,-48.510375911369934
6.9,6.2,20.0,-54.91229066252709
7.0,6.1,22.5,-57.17740597901866
7.1,6.1,23.0,-57.42734572174959
7.1,6.0,23.5,-57.662139884196215
7.2,6.0,24.0,-57.85550583503209
7.2,6.0,24.5,-58.01708464021793
7.2,6.0,25.0,-58.06189889437519
7.3,5.9,25.5,-58.083457627799355
7.3,5.9,26.0,-58.075478210812435
7.4,5.9,26.5,-57.95929598994554
7.4,5.9,27.0,-57.84428344666958
7.5,5.8,27.5,-57.68036528443918
7.7,5.7,30.0,-56.399065164849155
8.3,5.5,35.0,-52.73035305156373
9.1,5.1,40.0,-49.226254379609614
9.7,4.8,45.0,-46.722000021254644
