a,b,a_step1,b_step1,theta,A1,A2,R3t,R3p,E,E_p,E_t1,E_t2
8.324061508662703,7.128113354878695,7.3,5.9,25.5,-28.72032679786948,-39.78279270248622,-4.0,-4.0,-48.73041480302345,-6.219787503709085,-7.478799094678834,-10.666620803123806
8.372574275573792,7.07248188403477,7.3,5.9,25.5,-29.320475877580744,-39.2314037732289,-4.0,-3.9,-48.85173884150572,-6.306533230934292,-7.478799094678834,-10.640537095139734
8.421995013059554,7.0178344238090995,7.3,5.9,25.5,-29.91364599153488,-38.66028700376551,-4.0,-3.8,-48.85544115048833,-6.385170274064876,-7.478799094678834,-10.563751206500456
8.472307831990053,6.96419413859206,7.3,5.9,25.5,-30.49983323344744,-38.06891211456869,-4.0,-3.7,-48.75167358655017,-6.45504351251293,-7.478799094678834,-10.44199418608332
8.523496934944014,6.911584478250989,7.3,5.9,25.5,-31.07903963507926,-37.456777398548105,-4.0,-3.6,-48.55772530613467,-6.516098980559036,-7.478799094678834,-10.283964577829463
8.575546629807338,6.860029154456998,7.3,5.9,25.5,-31.651272886712622,-36.823410944390545,-4.0,-3.5,-48.29706392704975,-6.568932812544517,-7.478799094678834,-10.100800056301525
8.628441342444184,6.809552114493288,7.3,5.9,25.5,-32.21654605857564,-36.168371746207306,-4.0,-3.4,-47.99649667693302,-6.614559064502828,-7.478799094678834,-9.904890179284848
8.682165628459295,6.760177512462229,7.3,5.9,25.5,-32.77487732426425,-35.4912506924804,-4.0,-3.3,-47.68210412748158,-6.653942847275175,-7.478799094678834,-9.70831012178678
8.736704184073076,6.711929677819934,7.3,5.9,25.5,-33.326289687115214,-34.791671428284666,-4.0,-3.2,-47.38006222888362,-6.688356750644743,-7.478799094678834,-9.52287526911823
8.792041856133308,6.664833081180653,7.3,5.9,25.5,-33.87081071038882,-34.069291085698325,-4.0,-3.1,-47.113455820363015,-6.719646909390576,-7.478799094678834,-9.358281906112095
8.848163651289457,6.618912297349165,7.3,5.9,25.5,-34.40847225202863,-33.32380087817199,-4.0,-3.0,-46.90401180740446,-6.7502643772168085,-7.478799094678834,-9.222942431806588
8.905054744357274,6.57419196555744,7.3,5.9,25.5,-34.93931020467703,-32.55492655538356,-4.0,-2.9,-46.770802729646675,-6.782935057766736,-7.478799094678834,-9.123667212377768
8.962700485902673,6.5306967469022785,7.3,5.9,25.5,-35.46336424154059,-31.76242871574603,-4.0,-2.8,-46.726293445331976,-6.820332143921405,-7.478799094678834,-9.064015484065749
9.021086409075128,6.488451279003334,7.3,5.9,25.5,-35.98067756861832,-30.946102974244415,-4.0,-2.7,-46.77814961690456,-6.864901669207029,-7.478799094678834,-9.045374044566415
9.08019823572151,6.447480127925948,7.3,5.9,25.5,-36.49129668372969,-30.105779983652326,-4.0,-2.6,-46.927320038783364,-6.918528673704714,-7.478799094678834,-9.066332251008134
9.140021881811881,6.407807737440318,7.3,5.9,25.5,-36.99527114270714,-29.241325307415952,-4.0,-2.5,-47.16906701121479,-6.982318830210716,-7.478799094678834,-9.123415580717849
9.200543462209176,6.369458375717672,7.3,5.9,25.5,-37.492653333050335,-28.352639142601205,-4.0,-2.4,-47.49352607678156,-7.056490512215532,-7.478799094678834,-9.211473431496415
9.261749294814669,6.332456079595025,7.3,5.9,25.5,-37.98349825527709,-27.43965589128811,-4.0,-2.3,-47.8832273571752,-7.140206621377729,-7.478799094678834,-9.322607962531038
9.323625904121208,6.296824596572467,7.3,5.9,25.5,-38.46786331214755,-26.50234357868164,-4.0,-2.2,-48.31594821275212,-7.231706364429556,-7.478799094678834,-9.44746864726767
9.386160024205852,6.26258732474047,7.3,5.9,25.5,-38.94580810588517,-25.540703116008522,-4.0,-2.1,-48.764094520010985,-7.328549982863478,-7.478799094678834,-9.57469818246318
9.449338601193206,6.229767250869008,7.3,5.9,25.5,-39.417394243468934,-24.55476740600566,-4.0,-2.0,-49.19847074709833,-7.427611221559346,-7.478799094678834,-9.692825057310984
9.513148795220223,6.198386886924694,7.3,5.9,25.5,-39.88268515002737,-23.544600288501567,-4.0,-1.9,-49.59057288058102,-7.52565087378025,-7.478799094678834,-9.790836471831426
9.577577981932594,6.168468205316454,7.3,5.9,25.5,-40.34174589032438,-22.51029532326749,-4.0,-1.8,-49.9138735627057,-7.619670697138645,-7.478799094678834,-9.858466989535373
9.642613753542138,6.1400325732035,7.3,5.9,25.5,-40.794642998291415,-21.451974406990068,-4.0,-1.7,-50.14583639905322,-7.706834346055984,-7.478799094678834,-9.887284758791791
9.7082439194738,6.11310068623117,7.3,5.9,25.5,-41.24144431452801,-20.369786220910257,-4.0,-1.6,-50.26958011602983,-7.78456024476327,-7.478799094678834,-9.87143071857281
9.774456506629921,6.087692502089769,7.3,5.9,25.5,-41.68221883166516,-19.263904505393715,-4.0,-1.5,-50.276195326354355,-7.85100853361655,-7.478799094678834,-9.808290034881791
9.841239759298622,6.063827174318213,7.3,5.9,25.5,-42.11703654746046,-18.13452615745404,-4.0,-1.4,-50.16481481131632,-7.905055969837122,-7.478799094678834,-9.698552341142204
9.90858213873206,6.041522986797286,7.3,5.9,25.5,-42.54596832547293,-16.981869147039834,-4.0,-1.3,-49.94113134231884,-7.945575545774773,-7.478799094678834,-9.546191030705812
9.976472322419383,6.020797289396148,7.3,5.9,25.5,-42.96908576314689,-15.806170247711409,-4.0,-1.2,-49.61669988674112,-7.971550694666803,-7.478799094678834,-9.35800015402492
10.044899203078147,6.001666435249463,7.3,5.9,25.5,-43.38646106711882,-14.607682577154714,-4.0,-1.1,-49.209268939099275,-7.9828220292693,-7.478799094678834,-9.143013345601505
10.113851887386922,5.984145720150872,7.3,5.9,25.5,-43.79816693554789,-13.38667294278012,-4.0,-1.0,-48.741073687560856,-7.980108676012605,-7.478799094678834,-8.911629073088989
10.183319694480772,5.96824932455071,7.3,5.9,25.5,-44.20427644726073,-12.143418987394886,-4.0,-0.9,-48.23557798739057,-7.964630514383316,-7.478799094678834,-8.674359384633135
10.25329215423027,5.953990258641679,7.3,5.9,25.5,-44.604862957492514,-10.878206129568799,-4.0,-0.8,-47.71576250856742,-7.937685234937817,-7.478799094678834,-8.44139692466706
10.323759005323593,5.9413803110051795,7.3,5.9,25.5,-45.00000000000001,-9.591324292771814,-4.0,-0.7,-47.20402057364117,-7.901284634950571,-7.478799094678834,-8.221926557191182
10.39471019317037,5.930430001273095,7.3,5.9,25.5,-45.389761195318066,-8.28306441657469,-4.0,-0.6,-46.721567039960064,-7.858383031212725,-7.478799094678834,-8.023601394088473
10.466135867644754,5.921148537234985,7.3,5.9,25.5,-45.77422016492807,-6.95371474207966,-4.0,-0.5,-46.28784216823988,-7.812618726864457,-7.478799094678834,-7.852503262576647
10.538026380684384,5.913543776789007,7.3,5.9,25.5,-46.153450451105364,-5.6035568621830105,-4.0,-0.4,-45.9181835569907,-7.767754271742888,-7.478799094678834,-7.712538412073627
10.61037228376083,5.907622195096772,7.3,5.9,25.5,-46.52752544221293,-4.232861525142545,-4.0,-0.3,-45.62478121649474,-7.727651362773031,-7.478799094678834,-7.605940150795504
10.683164325236227,5.903388857258177,7.3,5.9,25.5,-46.89651830320929,-2.841884177085811,-4.0,-0.2,-45.41573128022719,-7.696002268465236,-7.478799094678834,-7.533064276969526
10.756393447619885,5.900847396772772,7.3,5.9,25.5,-47.260501911141276,-1.4308602253810092,-4.0,-0.1,-45.292819641530514,-7.675728675443679,-7.478799094678834,-7.491882050642744
10.830050784737807,5.9,7.3,5.9,25.5,-47.619548795394685,0.0,-4.0,0.0,-45.25268033682369,-7.668741979054175,-7.478799094678834,-7.478799094678834
