a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
5.9,7.3,64.5,0,1,-58.03771214862354,-7.695668433094398,-10.661593820608687,2,Done,tetracene_A1=0_A2=1_a=5.9_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.4,64.5,0,10,-54.47577964630909,-7.695757539477199,-9.771066141838674,2,Done,tetracene_A1=0_A2=10_a=5.9_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.6,64.5,0,15,-52.53593539330177,-7.6959420276107275,-9.286012834520081,2,Done,tetracene_A1=0_A2=15_a=5.9_b=7.6_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.8,64.5,0,20,-51.64301878330298,-7.695534146041608,-9.06298762280494,1,Done,tetracene_A1=0_A2=20_a=5.9_b=7.8_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.1,64.5,0,25,-52.80395495332778,-7.6954814351629475,-9.35324802075047,1,Done,tetracene_A1=0_A2=25_a=5.9_b=8.1_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.4,64.5,0,30,-54.462938281474635,-7.695878021651878,-9.767795559542721,1,Done,tetracene_A1=0_A2=30_a=5.9_b=8.4_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.2,64.0,0,1,-57.053691127104685,-7.76791491440963,-10.379465324571356,2,Done,tetracene_A1=0_A2=1_a=5.8_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.3,64.0,0,10,-52.279211011948064,-7.767736701760441,-9.185934402106797,2,Done,tetracene_A1=0_A2=10_a=5.8_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.5,64.0,0,15,-50.21860371413641,-7.768045436707325,-8.670628210180439,2,Done,tetracene_A1=0_A2=15_a=5.8_b=7.5_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.7,64.0,0,20,-49.126583201112226,-7.767815767787397,-8.397737916384358,1,Done,tetracene_A1=0_A2=20_a=5.8_b=7.7_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.0,64.0,0,25,-50.95313930977136,-7.767557233804838,-8.854506210540423,1,Done,tetracene_A1=0_A2=25_a=5.8_b=8.0_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.3,64.0,0,30,-53.13471547537483,-7.76784588850569,-9.399755924590863,1,Done,tetracene_A1=0_A2=30_a=5.8_b=8.3_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.2,64.5,0,1,-57.097599257715046,-7.602794443257152,-10.473002592800183,2,Done,tetracene_A1=0_A2=1_a=5.8_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.3,64.5,0,10,-52.555149749154225,-7.602656390983611,-9.33745924179675,2,Done,tetracene_A1=0_A2=10_a=5.8_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.5,64.5,0,15,-50.51843803166411,-7.602975166053513,-8.828121924889274,2,Done,tetracene_A1=0_A2=15_a=5.8_b=7.5_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.7,64.5,0,20,-49.463405469199635,-7.6028258186997855,-8.564438457950017,1,Done,tetracene_A1=0_A2=20_a=5.8_b=7.7_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.3,64.5,0,30,-53.26904528564774,-7.602670196210965,-9.515926223306453,1,Done,tetracene_A1=0_A2=30_a=5.8_b=8.3_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.0,64.5,0,25,-51.170925440033905,-7.602499513421207,-8.991481603297869,1,Done,tetracene_A1=0_A2=25_a=5.8_b=8.0_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.3,65.0,0,10,-52.66324211191386,-7.383639085688628,-9.47399098513415,2,Done,tetracene_A1=0_A2=10_a=5.8_b=7.3_theta=65.0_cx=0_cy=0_cz=0.log
5.8,7.2,65.0,0,1,-56.9742182411719,-7.383699326543138,-10.551704897021411,2,Done,tetracene_A1=0_A2=1_a=5.8_b=7.2_theta=65.0_cx=0_cy=0_cz=0.log
5.8,7.5,65.0,0,15,-50.65324977063574,-7.383905149996281,-8.971359867660793,2,Done,tetracene_A1=0_A2=15_a=5.8_b=7.5_theta=65.0_cx=0_cy=0_cz=0.log
5.8,7.7,65.0,0,20,-49.636663490207866,-7.383897619904019,-8.717217062599957,1,Done,tetracene_A1=0_A2=20_a=5.8_b=7.7_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.3,65.0,0,30,-53.242770187091075,-7.383576334686952,-9.618904379429297,1,Done,tetracene_A1=0_A2=30_a=5.8_b=8.3_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.0,65.0,0,25,-51.2281819623895,-7.383557509398089,-9.11526673589833,1,Done,tetracene_A1=0_A2=25_a=5.8_b=8.0_theta=65.0_cx=0_cy=0_cz=0.log
5.8,7.4,64.0,0,10,-53.53374657430686,-7.767736701760441,-9.499568292696496,2,Done,tetracene_A1=0_A2=10_a=5.8_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.3,64.0,0,1,-57.58275233837776,-7.76791491440963,-10.511730627389623,2,Done,tetracene_A1=0_A2=1_a=5.8_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.6,64.0,0,15,-51.58196708047762,-7.768045436707325,-9.011469051765745,2,Done,tetracene_A1=0_A2=15_a=5.8_b=7.6_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.8,64.0,0,20,-50.63340790383519,-7.767815767787397,-8.774444092065098,1,Done,tetracene_A1=0_A2=20_a=5.8_b=7.8_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.4,64.0,0,30,-53.8918891218491,-7.76784588850569,-9.589049336209428,1,Done,tetracene_A1=0_A2=30_a=5.8_b=8.4_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.1,64.0,0,25,-52.06704486021771,-7.767557233804838,-9.132982598152012,1,Done,tetracene_A1=0_A2=25_a=5.8_b=8.1_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.4,64.5,0,10,-53.65321945818141,-7.602656390983611,-9.611976669053547,2,Done,tetracene_A1=0_A2=10_a=5.8_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.3,64.5,0,1,-57.48960726475342,-7.602794443257152,-10.57100459455978,2,Done,tetracene_A1=0_A2=1_a=5.8_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.6,64.5,0,15,-51.72398765338585,-7.602975166053513,-9.129509330319708,2,Done,tetracene_A1=0_A2=15_a=5.8_b=7.6_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.8,64.5,0,20,-50.810363214462996,-7.6028258186997855,-8.901177894265858,1,Done,tetracene_A1=0_A2=20_a=5.8_b=7.8_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.4,64.5,0,30,-53.89652516553178,-7.602670196210965,-9.672796193277463,1,Done,tetracene_A1=0_A2=30_a=5.8_b=8.4_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.1,64.5,0,25,-52.14062166283839,-7.602499513421207,-9.233905658998992,1,Done,tetracene_A1=0_A2=25_a=5.8_b=8.1_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.4,65.0,0,10,-53.60946193058044,-7.383639085688628,-9.710545939800797,2,Done,tetracene_A1=0_A2=10_a=5.8_b=7.4_theta=65.0_cx=0_cy=0_cz=0.log
5.8,7.3,65.0,0,1,-57.235197139903896,-7.383699326543138,-10.616949621704409,2,Done,tetracene_A1=0_A2=1_a=5.8_b=7.3_theta=65.0_cx=0_cy=0_cz=0.log
5.8,7.6,65.0,0,15,-51.7059630563017,-7.383905149996281,-9.234538189077282,2,Done,tetracene_A1=0_A2=15_a=5.8_b=7.6_theta=65.0_cx=0_cy=0_cz=0.log
5.8,7.8,65.0,0,20,-50.828653875505545,-7.383897619904019,-9.015214658924377,1,Done,tetracene_A1=0_A2=20_a=5.8_b=7.8_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.4,65.0,0,30,-53.74483591737226,-7.383576334686952,-9.744420811999591,1,Done,tetracene_A1=0_A2=30_a=5.8_b=8.4_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.1,65.0,0,25,-52.058018756797544,-7.383557509398089,-9.32272593450034,1,Done,tetracene_A1=0_A2=25_a=5.8_b=8.1_theta=65.0_cx=0_cy=0_cz=0.log
5.8,7.5,64.0,0,10,-54.30545586184599,-7.767736701760441,-9.692495614581276,2,Done,tetracene_A1=0_A2=10_a=5.8_b=7.5_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.7,64.0,0,15,-52.458774253027535,-7.768045436707325,-9.230670844903216,2,Done,tetracene_A1=0_A2=15_a=5.8_b=7.7_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.4,64.0,0,1,-57.700061568524674,-7.76791491440963,-10.541057934926355,2,Done,tetracene_A1=0_A2=1_a=5.8_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.9,64.0,0,20,-51.6410760122817,-7.767815767787397,-9.026361119176727,1,Done,tetracene_A1=0_A2=20_a=5.8_b=7.9_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.5,64.0,0,30,-54.2636134950444,-7.76784588850569,-9.681980429508258,1,Done,tetracene_A1=0_A2=30_a=5.8_b=8.5_theta=64.0_cx=0_cy=0_cz=0.log
5.8,8.2,64.0,0,25,-52.741836484055966,-7.767557233804838,-9.301680504111573,1,Done,tetracene_A1=0_A2=25_a=5.8_b=8.2_theta=64.0_cx=0_cy=0_cz=0.log
5.8,7.5,64.5,0,10,-54.28519481956027,-7.602656390983611,-9.769970509398263,2,Done,tetracene_A1=0_A2=10_a=5.8_b=7.5_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.7,64.5,0,15,-52.460900257108726,-7.602975166053513,-9.313737481250428,2,Done,tetracene_A1=0_A2=15_a=5.8_b=7.7_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.4,64.5,0,1,-57.48775234515779,-7.602794443257152,-10.570540864660867,2,Done,tetracene_A1=0_A2=1_a=5.8_b=7.4_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.9,64.5,0,20,-51.67612119065598,-7.6028258186997855,-9.117617388314102,1,Done,tetracene_A1=0_A2=20_a=5.8_b=7.9_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.5,64.5,0,30,-54.1541079794988,-7.602670196210965,-9.737191896769216,1,Done,tetracene_A1=0_A2=30_a=5.8_b=8.5_theta=64.5_cx=0_cy=0_cz=0.log
5.8,8.2,64.5,0,25,-52.68784552323632,-7.602499513421207,-9.370711624098476,1,Done,tetracene_A1=0_A2=25_a=5.8_b=8.2_theta=64.5_cx=0_cy=0_cz=0.log
5.8,7.5,65.0,0,10,-54.10665065352805,-7.383639085688628,-9.834843120537696,2,Done,tetracene_A1=0_A2=10_a=5.8_b=7.5_theta=65.0_cx=0_cy=0_cz=0.log
5.8,7.7,65.0,0,15,-52.30795850022697,-7.383905149996281,-9.3850370500586,2,Done,tetracene_A1=0_A2=15_a=5.8_b=7.7_theta=65.0_cx=0_cy=0_cz=0.log
5.8,7.4,65.0,0,1,-57.12042556027882,-7.383699326543138,-10.588256726798136,2,Done,tetracene_A1=0_A2=1_a=5.8_b=7.4_theta=65.0_cx=0_cy=0_cz=0.log
5.8,7.9,65.0,0,20,-51.55721055623144,-7.383897619904019,-9.197353829105849,1,Done,tetracene_A1=0_A2=20_a=5.8_b=7.9_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.5,65.0,0,30,-53.89286050712689,-7.383576334686952,-9.78142695943825,1,Done,tetracene_A1=0_A2=30_a=5.8_b=8.5_theta=65.0_cx=0_cy=0_cz=0.log
5.8,8.2,65.0,0,25,-52.48211511480622,-7.383557509398089,-9.428750024002511,1,Done,tetracene_A1=0_A2=25_a=5.8_b=8.2_theta=65.0_cx=0_cy=0_cz=0.log
5.9,7.3,64.0,0,10,-53.27910803561099,-7.760703569510952,-9.439425224147273,2,Done,tetracene_A1=0_A2=10_a=5.9_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.5,64.0,0,15,-51.1884404993616,-7.760825306526384,-8.916697471577207,2,Done,tetracene_A1=0_A2=15_a=5.9_b=7.5_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.2,64.0,0,1,-57.74587481841445,-7.760501511394978,-10.556217948906124,2,Done,tetracene_A1=0_A2=1_a=5.9_b=7.2_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.7,64.0,0,20,-50.11314689274877,-7.760386049398223,-8.648093698488081,1,Done,tetracene_A1=0_A2=20_a=5.9_b=7.7_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.3,64.0,0,30,-53.80570187768899,-7.760803971323185,-9.571023483760657,1,Done,tetracene_A1=0_A2=30_a=5.9_b=8.3_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.3,64.5,0,10,-53.63580229016952,-7.695757539477199,-9.561071802803779,2,Done,tetracene_A1=0_A2=10_a=5.9_b=7.3_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.5,64.5,0,15,-51.576891779433936,-7.695942027610727,-9.046251931053119,2,Done,tetracene_A1=0_A2=15_a=5.9_b=7.5_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.2,64.5,0,1,-57.878286957973614,-7.695668433094398,-10.621737522946203,2,Done,tetracene_A1=0_A2=1_a=5.9_b=7.2_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.0,64.0,0,25,-51.73632450029254,-7.760477665928192,-9.053842292109039,1,Done,tetracene_A1=0_A2=25_a=5.9_b=8.0_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.7,64.5,0,20,-50.54071965673939,-7.695534146041608,-8.787412841164041,1,Done,tetracene_A1=0_A2=20_a=5.9_b=7.7_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.3,65.0,0,10,-53.86027014721185,-7.591652375529518,-9.669241349038202,2,Done,tetracene_A1=0_A2=10_a=5.9_b=7.3_theta=65.0_cx=0_cy=0_cz=0.log
5.9,7.5,65.0,0,15,-51.836096080485724,-7.591872004210018,-9.163088018016424,2,Done,tetracene_A1=0_A2=15_a=5.9_b=7.5_theta=65.0_cx=0_cy=0_cz=0.log
5.9,7.2,65.0,0,1,-57.87954448885285,-7.591614724951795,-10.674078759737313,2,Done,tetracene_A1=0_A2=1_a=5.9_b=7.2_theta=65.0_cx=0_cy=0_cz=0.log
5.9,8.3,64.5,0,30,-54.039138107793406,-7.695878021651878,-9.661845516122412,1,Done,tetracene_A1=0_A2=30_a=5.9_b=8.3_theta=64.5_cx=0_cy=0_cz=0.log
5.9,8.0,64.5,0,25,-52.05281293322332,-7.6954814351629475,-9.165462515724355,1,Done,tetracene_A1=0_A2=25_a=5.9_b=8.0_theta=64.5_cx=0_cy=0_cz=0.log
5.9,7.7,65.0,0,20,-50.840267830993966,-7.591506793163718,-8.914313561166637,1,Done,tetracene_A1=0_A2=20_a=5.9_b=7.7_theta=65.0_cx=0_cy=0_cz=0.log
5.9,7.4,64.0,0,10,-54.26040315348655,-7.7607035695109525,-9.684749003616163,2,Done,tetracene_A1=0_A2=10_a=5.9_b=7.4_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.6,64.0,0,15,-52.29010960506275,-7.760825306526384,-9.192114748002496,2,Done,tetracene_A1=0_A2=15_a=5.9_b=7.6_theta=64.0_cx=0_cy=0_cz=0.log
5.9,7.3,64.0,0,1,-58.026479720138006,-7.760501511394978,-10.626369174337015,2,Done,tetracene_A1=0_A2=1_a=5.9_b=7.3_theta=64.0_cx=0_cy=0_cz=0.log
5.9,8.3,65.0,0,30,-54.14683137391694,-7.591727676917799,-9.740844005020335,1,Done,tetracene_A1=0_A2=30_a=5.9_b=8.3_theta=65.0_cx=0_cy=0_cz=0.log
