a,b,theta,A1,A2,E
5.9,7.3,64.5,0,0,-58.083457627799355
5.9,8.6,64.5,0,33,-54.956974394619465
6.0,8.6,65.5,0,34,-54.96820180281066
7.3,5.9,25.5,0,0,-58.083457627799355
5.9,7.3,64.5,0,0,-58.083457627799355
6.1,9.1,67.0,0,40,-50.97136972937733
6.0,8.7,66.0,0,36,-54.38547091698275
6.0,8.7,65.5,0,35,-54.752225411590175
7.3,5.9,25.5,0,0,-58.083457627799355
6.0,8.6,65.5,0,34,-54.96820180281066
5.9,8.6,64.5,0,32,-54.919080320280045
5.9,8.5,64.5,0,31,-54.765754527412355
5.9,8.5,64.5,0,30,-54.54675604752265
5.9,8.3,64.0,0,25,-53.225137155503035
5.9,8.1,64.0,0,20,-52.59781289868988
5.9,7.8,64.5,0,15,-53.22360101179221
5.9,7.6,64.0,0,10,-54.95510692452082
5.9,7.3,64.5,0,1,-58.03771214862354
6.0,8.6,66.0,-1,34,-55.128917154390365
6.0,8.6,66.5,-2,34,-55.06753663625568
6.0,8.6,67.0,-3,34,-54.80269729555585
6.0,8.6,68.0,-4,34,-54.39931880775839
6.0,8.6,69.0,-5,34,-53.84913309919647
